Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
"Lincomicina (Linobac, Lincomed)",J01FF02,ATC,,,,,,,,,,,,75
Linezolid (Zyvox),J01XX08,ATC,1.0,,,,,,,,,,,76
lomefloxacina,J01MA07,ATC,,,,,,,,,,,,77
"Meropenem (Merrem, Meronem)",J01DH02,ATC,1.0,,,,,,,,,1.0,,78
"Hipurato de metenamina (Hiprex, Urex)",J01XX05,ATC,,,,,,,,,,,,79
"Meticilina (meticilina, estafcilina)",J01CF03,ATC,,,,,,,,,,,,80
"Metronidazol (Flagyl, Likmez)",J01XD01,ATC,1.0,,,,,,,,,,,81
"Mezlocilina (Baypen, Melocin, Bezlin, Optocilina)",J01CA10,ATC,,,,,,,,,,,,82
"Minociclina (Minocin, Ximino)",J01AA08,ATC,,,,,,,,,,,,83
"Moxifloxacina (Avelox, Vigamox)",J01MA14,ATC,1.0,,,,,,,,,,,84
nafcilina,J01CF06,ATC,,,,,,,,,,,,85
"Ácido nalidíxico (NegGram, Wintomylon)",J01MB02,ATC,,,,,,,,,,,,86
Neomicina (Neovet),J01GB05,ATC,,,,,,,,,,,,87
Netilmicina (Netromicina),J01GB07,ATC,,,,,,,,,,,,89
"Nitrofural (aldomicina, furacina, NFZ)",D08AF01,ATC,,,,,,,,,,,,90
"Nitrofurantoína (Macrobid, Macrodantin)",J01XE01,ATC,1.0,,,,,,,,,,,91
"Norfloxacina (Trizolin, Noroxin)",J01MA06,ATC,,,,,,,,,,,,92
Novobiocina (Albadry),90220005,SNOMED,,,,,,,,,,,,93
"Ofloxacina (Floxin, Ocuflox)",J01MA01,ATC,,,,,,,,,,,,94
Oxacilina (Bactocill),J01CF04,ATC,,,,,,,,,,,,95
"Oxitetraciclina (agrimicina, noromicina)",J01AA06,ATC,,,,,,,,,,,,96
piperacilina,J01CA12,ATC,,,,,,,,,,,,97
"Inhibidor de piperacilina/beta-lactamasa (Piperacilina/Tazobactam, Pip-Taz, Tazocel, Tazocin, Zosyn,",J01CR05,ATC,1.0,,,,,,,,,,,98
Pivmecilinam (Selexid),J01CA08,ATC,1.0,,,,,,,,,,,100
Plazomicina (Zemdri),J01GB14,ATC,,,,,,,,,,,,101
"Polimixina B (Poly-Rx, Polisporina)",J01XB02,ATC,,,,,,,,,,,,102
"Bencilpenicilina procaína (Penicilina G, Bactracilina G, Norocilina)",J01CE09,ATC,,,,,,,,,,,,103
Pirazinamida,J04AK01,ATC,,,,,,,,,,,,104
Quinupristina/Dalfopristina (Synercid),J01FG02,ATC,,,,,,,,,,,,105
Retapamulina (Altabax),D06AX13,ATC,,,,,,,,,,,,106
"Rifampicina (Rifadin, Rimactane)",J04AB02,ATC,1.0,,,,,,,,,,,107
Rifapentina (Priftin),J04AB05,ATC,,,,,,,,,,,,108
Rifaximina (Xifaxan),A07AA11,ATC,1.0,,,,,,,,,,,109
"Roxitromicina (Biaxsig, Rulide)",J01FA06,ATC,,,,,,,,,,,,110
Sparfloxacina (Spacin),J01MA09,ATC,,,,,,,,,,,,111
Espectinomicina (SpectoGard),J01XX04,ATC,,,,,,,,,,,,112
Estreptomicina,J01GA01,ATC,,,,,,,,,,,,113
Sulfadiazina,J01EC02,ATC,,,,,,,,,,,,114
Sulfametoxazol (Gantanol),J01EC01,ATC,1.0,,,,,,,,,,,115
"Sulfametoxazol/Trimetoprima (Bactrim, Cotrimoxazol, Septra)",J01EE01,ATC,1.0,,,,,,,,,,,116
"Sulfisoxazol (sulfafurazol, truxazol)",J01EB05,ATC,,,,,,,,,,,,117
Teicoplanina (Targocid),J01XA02,ATC,,,,,,,,,,,,118
"Telavancina (Televancin, Vibativ)",J01XA03,ATC,,,,,,,,,,,,119
Telitromicina (Levviax),J01FA15,ATC,,,,,,,,,,,,120
"Tetraciclina (Viabeclina, Vitastem)",J01AA07,ATC,,,,,,,,,,,,121
ticarcilina,J01CA13,ATC,,,,,,,,,,,,122
Inhibidor de ticarcilina/betalactamasa (ticacilina/clavulanato),J01CR03,ATC,,,,,,,,,,,,123
Tigeciclina (Tygacil),J01AA12,ATC,1.0,,,,,,,,,,,124
"Tobramicina (Nebcin, Tobrex, Tobi)",J01GB01,ATC,1.0,,,,,,,,,,,125
Trimetoprima (Primsol),J01EA01,ATC,1.0,,,,,,,,,,,126
Trovafloxacina (Trovan),J01MA13,ATC,,,,,,,,,,,,127
"Vancomicina (Vancocin, Vancocin HCl, Firvanq)",J01XA01,ATC,1.0,,,,,,1.0,,,1.0,,128
Voriconazol (Vfend),J02AC03,ATC,,,,,,,,,,,,129
Xibornol,J01XX02,ATC,,,,,,,,,,,,130
