Country,Region,Income group,Code,Selected,Value
Costa Rica,América Latina e Caribe,Upper middle income,CRI,,45
Cuba,América Latina e Caribe,Upper middle income,CUB,,46
Curaçau,América Latina e Caribe,High income,CUW,,47
Ilhas Cayman,América Latina e Caribe,High income,CYM,,48
Chipre,Europa e Ásia Central,High income,CYP,,49
Tcheca,Europa e Ásia Central,High income,CZE,,50
Alemanha,Europa e Ásia Central,High income,DEU,,51
Djibuti,Oriente Médio e Norte da África,Lower middle income,DJI,,52
Domínica,América Latina e Caribe,Upper middle income,DMA,,53
Dinamarca,Europa e Ásia Central,High income,DNK,,54
República Dominicana,América Latina e Caribe,Upper middle income,DOM,,55
Argélia,Oriente Médio e Norte da África,Lower middle income,DZA,,56
Equador,América Latina e Caribe,Upper middle income,ECU,,57
"Egito, República Árabe",Oriente Médio e Norte da África,Lower middle income,EGY,,58
Eritreia,África Subsaariana,Low income,ERI,,59
Espanha,Europa e Ásia Central,High income,ESP,,60
Estônia,Europa e Ásia Central,High income,EST,,61
Etiópia,África Subsaariana,Low income,ETH,,62
Finlândia,Europa e Ásia Central,High income,FIN,,63
Fiji,Ásia Oriental e Pacífico,Upper middle income,FJI,,64
França,Europa e Ásia Central,High income,FRA,,65
Ilhas Faroé,Europa e Ásia Central,High income,FRO,,66
"Micronésia, Fed. Santos.",Ásia Oriental e Pacífico,Lower middle income,FSM,,67
Gabão,África Subsaariana,Upper middle income,GAB,,68
Reino Unido,Europa e Ásia Central,High income,GBR,,69
Geórgia,Europa e Ásia Central,Upper middle income,GEO,,70
Gana,África Subsaariana,Lower middle income,GHA,,71
Gibraltar,Europa e Ásia Central,High income,GIB,,72
Guiné,África Subsaariana,Lower middle income,GIN,,73
"Gâmbia, A",África Subsaariana,Low income,GMB,,74
Guiné-Bissau,África Subsaariana,Low income,GNB,,75
Guiné Equatorial,África Subsaariana,Upper middle income,GNQ,,76
Grécia,Europa e Ásia Central,High income,GRC,,77
Granada,América Latina e Caribe,Upper middle income,GRD,,78
Groenlândia,Europa e Ásia Central,High income,GRL,,79
Guatemala,América Latina e Caribe,Upper middle income,GTM,,80
Guam,Ásia Oriental e Pacífico,High income,GUM,,81
Guiana,América Latina e Caribe,High income,GUY,,82
"RAE de Hong Kong, China",Ásia Oriental e Pacífico,High income,HKG,,83
Honduras,América Latina e Caribe,Lower middle income,HND,,84
Croácia,Europa e Ásia Central,High income,HRV,,85
Haiti,América Latina e Caribe,Lower middle income,HTI,,86
Hungria,Europa e Ásia Central,High income,HUN,,87
Ilha de Man,Europa e Ásia Central,Upper middle income,IDN,,89
Índia,Sul da Ásia,High income,IMN,,90
Irlanda,Europa e Ásia Central,Lower middle income,IND,,91
"Irã, Rep. Islâmica.",Oriente Médio e Norte da África,High income,IRL,,92
Iraque,Oriente Médio e Norte da África,Lower middle income,IRN,,93
Islândia,Europa e Ásia Central,Upper middle income,IRQ,,94
Israel,Oriente Médio e Norte da África,High income,ISL,,95
Itália,Europa e Ásia Central,High income,ISR,,96
Jamaica,América Latina e Caribe,High income,ITA,,97
Jordânia,Oriente Médio e Norte da África,Upper middle income,JAM,,98
Cazaquistão,Europa e Ásia Central,Lower middle income,JOR,,100
Quênia,África Subsaariana,High income,JPN,,101
República do Quirguistão,Europa e Ásia Central,Upper middle income,KAZ,,102
Camboja,Ásia Oriental e Pacífico,Lower middle income,KEN,,103
Quiribáti,Ásia Oriental e Pacífico,Lower middle income,KGZ,,104
São Cristóvão e Nevis,América Latina e Caribe,Lower middle income,KHM,,105
"Coreia, Rep.",Ásia Oriental e Pacífico,Lower middle income,KIR,,106
Kuwait,Oriente Médio e Norte da África,High income,KNA,,107
República Popular Democrática do Laos,Ásia Oriental e Pacífico,High income,KOR,,108
Líbano,Oriente Médio e Norte da África,High income,KWT,,109
Libéria,África Subsaariana,Lower middle income,LAO,,110
Líbia,Oriente Médio e Norte da África,Lower middle income,LBN,,111
Santa Lúcia,América Latina e Caribe,Low income,LBR,,112
Liechtenstein,Europa e Ásia Central,Upper middle income,LBY,,113
Sri Lanka,Sul da Ásia,Upper middle income,LCA,,114
Lesoto,África Subsaariana,High income,LIE,,115
Lituânia,Europa e Ásia Central,Lower middle income,LKA,,116
Luxemburgo,Europa e Ásia Central,Lower middle income,LSO,,117
Letónia,Europa e Ásia Central,High income,LTU,,118
"RAE de Macau, China",Ásia Oriental e Pacífico,High income,LUX,,119
São Martinho (parte francesa),América Latina e Caribe,High income,LVA,,120
Marrocos,Oriente Médio e Norte da África,High income,MAC,,121
Mônaco,Europa e Ásia Central,High income,MAF,,122
Moldávia,Europa e Ásia Central,Lower middle income,MAR,,123
Madagáscar,África Subsaariana,High income,MCO,,124
Maldivas,Sul da Ásia,Upper middle income,MDA,,125
México,América Latina e Caribe,Low income,MDG,,126
Ilhas Marshall,Ásia Oriental e Pacífico,Upper middle income,MDV,,127
Macedônia do Norte,Europa e Ásia Central,Upper middle income,MEX,,128
Mali,África Subsaariana,Upper middle income,MHL,,129
Malta,Oriente Médio e Norte da África,Upper middle income,MKD,,130
Mianmar,Ásia Oriental e Pacífico,Low income,MLI,,131
Montenegro,Europa e Ásia Central,High income,MLT,,132
Mongólia,Ásia Oriental e Pacífico,Lower middle income,MMR,,133
Ilhas Marianas do Norte,Ásia Oriental e Pacífico,Upper middle income,MNE,,134
Moçambique,África Subsaariana,Lower middle income,MNG,,135
Mauritânia,África Subsaariana,High income,MNP,,136
Maurício,África Subsaariana,Low income,MOZ,,137
Maláui,África Subsaariana,Lower middle income,MRT,,138
Malásia,Ásia Oriental e Pacífico,Upper middle income,MUS,,139
Namíbia,África Subsaariana,Low income,MWI,,140
Nova Caledônia,Ásia Oriental e Pacífico,Upper middle income,MYS,,141
Níger,África Subsaariana,Upper middle income,NAM,,142
Nigéria,África Subsaariana,High income,NCL,,143
Nicarágua,América Latina e Caribe,Low income,NER,,144
Holanda,Europa e Ásia Central,Lower middle income,NGA,,145
Noruega,Europa e Ásia Central,Lower middle income,NIC,,146
Nepal,Sul da Ásia,High income,NLD,,147
Nauru,Ásia Oriental e Pacífico,High income,NOR,,148
Nova Zelândia,Ásia Oriental e Pacífico,Lower middle income,NPL,,149
Omã,Oriente Médio e Norte da África,High income,NRU,,150
Paquistão,Sul da Ásia,High income,NZL,,151
Panamá,América Latina e Caribe,High income,OMN,,152
Peru,América Latina e Caribe,Lower middle income,PAK,,153
Filipinas,Ásia Oriental e Pacífico,High income,PAN,,154
Palau,Ásia Oriental e Pacífico,Upper middle income,PER,,155
Papua Nova Guiné,Ásia Oriental e Pacífico,Lower middle income,PHL,,156
Polônia,Europa e Ásia Central,Upper middle income,PLW,,157
Porto Rico,América Latina e Caribe,Lower middle income,PNG,,158
"Coreia, Dem. Deputado Popular",Ásia Oriental e Pacífico,High income,POL,,159
Portugal,Europa e Ásia Central,High income,PRI,,160
Paraguai,América Latina e Caribe,Low income,PRK,,161
Cisjordânia e Gaza,Oriente Médio e Norte da África,High income,PRT,,162
Polinésia Francesa,Ásia Oriental e Pacífico,Upper middle income,PRY,,163
Catar,Oriente Médio e Norte da África,Upper middle income,PSE,,164
Romênia,Europa e Ásia Central,High income,PYF,,165
Federação Russa,Europa e Ásia Central,High income,QAT,,166
Ruanda,África Subsaariana,High income,ROU,,167
Arábia Saudita,Oriente Médio e Norte da África,Upper middle income,RUS,,168
Sudão,África Subsaariana,Low income,RWA,,169
Senegal,África Subsaariana,High income,SAU,,170
Cingapura,Ásia Oriental e Pacífico,Low income,SDN,,171
Ilhas Salomão,Ásia Oriental e Pacífico,Lower middle income,SEN,,172
Serra Leoa,África Subsaariana,High income,SGP,,173
El Salvador,América Latina e Caribe,Lower middle income,SLB,,174
São Marino,Europa e Ásia Central,Low income,SLE,,175
Somália,África Subsaariana,Upper middle income,SLV,,176
Sérvia,Europa e Ásia Central,High income,SMR,,177
Sudão do Sul,África Subsaariana,Low income,SOM,,178
São Tomé e Príncipe,África Subsaariana,Upper middle income,SRB,,179
Suriname,América Latina e Caribe,Low income,SSD,,180
República Eslovaca,Europa e Ásia Central,Lower middle income,STP,,181
Eslovênia,Europa e Ásia Central,Upper middle income,SUR,,182
Suécia,Europa e Ásia Central,High income,SVK,,183
Essuatíni,África Subsaariana,High income,SVN,,184
Sint Maarten (parte holandesa),América Latina e Caribe,High income,SWE,,185
Seicheles,África Subsaariana,Lower middle income,SWZ,,186
República Árabe Síria,Oriente Médio e Norte da África,High income,SXM,,187
Ilhas Turcas e Caicos,América Latina e Caribe,High income,SYC,,188
Chade,África Subsaariana,Low income,SYR,,189
Ir,África Subsaariana,High income,TCA,,190
Tailândia,Ásia Oriental e Pacífico,Low income,TCD,,191
Tadjiquistão,Europa e Ásia Central,Low income,TGO,,192
Turcomenistão,Europa e Ásia Central,Upper middle income,THA,,193
Timor-Leste,Ásia Oriental e Pacífico,Lower middle income,TJK,,194
Tonga,Ásia Oriental e Pacífico,Upper middle income,TKM,,195
Trinidad e Tobago,América Latina e Caribe,Lower middle income,TLS,,196
Tunísia,Oriente Médio e Norte da África,Upper middle income,TON,,197
Turquia,Europa e Ásia Central,High income,TTO,,198
Tuvalu,Ásia Oriental e Pacífico,Lower middle income,TUN,,199
"Taiwan, China",Ásia Oriental e Pacífico,Upper middle income,TUR,,200
Tanzânia,África Subsaariana,Upper middle income,TUV,,201
Uganda,África Subsaariana,High income,TWN,,202
Ucrânia,Europa e Ásia Central,Lower middle income,TZA,,203
Uruguai,América Latina e Caribe,Low income,UGA,,204
Estados Unidos,América do Norte,Lower middle income,UKR,,205
Uzbequistão,Europa e Ásia Central,High income,URY,,206
São Vicente e Granadinas,América Latina e Caribe,High income,USA,,207
"Venezuela, RB",América Latina e Caribe,Lower middle income,UZB,,208
Ilhas Virgens Britânicas,América Latina e Caribe,Upper middle income,VCT,,209
Ilhas Virgens (EUA),América Latina e Caribe,,VEN,,210
Vietnã,Ásia Oriental e Pacífico,High income,VGB,,211
Vanuatu,Ásia Oriental e Pacífico,High income,VIR,,212
Samoa,Ásia Oriental e Pacífico,Lower middle income,VNM,,213
Kosovo,Europa e Ásia Central,Lower middle income,VUT,,214
"Iêmen, Rep.",Oriente Médio e Norte da África,Lower middle income,WSM,,215
África do Sul,África Subsaariana,Upper middle income,XKX,,216
Zâmbia,África Subsaariana,Low income,YEM,,217
Zimbábue,África Subsaariana,Upper middle income,ZAF,,218
Zâmbia,Sub-Saharan Africa,Lower middle income,ZMB,,219
Zimbábue,Sub-Saharan Africa,Lower middle income,ZWE,,220
