Microorganism,Code,Library,Type,Value,Selected
Vírus Ébola,424206003.0,SNOMED,virus,51,1
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",52,1
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",53,1
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",54,1
Entamoeba histolítica,4716008.0,SNOMED,"parasite, protozoa",55,1
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",56,1
Enterovírus (gênero Enterovírus),243633006.0,SNOMED,virus,57,1
Epidermófiton,112403007.0,SNOMED,fungi,58,1
Exophiala dermatite,20586007.0,SNOMED,fungi,59,1
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,60,1
Filoviridae (família),407325004.0,SNOMED,virus,61,1
Flaviviridae (família),243602009.0,SNOMED,virus,62,1
Fungos,414561005.0,SNOMED,fungi,63,1
Fusarium,35238009.0,SNOMED,fungi,64,1
Gênero Marburgvirus,424421007.0,SNOMED,virus,65,1
Giárdia,61419001.0,SNOMED,"parasite, protozoa",66,1
Giárdia intestinal,78181009.0,SNOMED,"parasite, protozoa",67,1
Giárdia lamblia,78181009.0,SNOMED,"parasite, protozoa",68,1
Hantavírus,49445003.0,SNOMED,virus,69,1
Vírus Hendra,115510008.0,SNOMED,virus,70,1
Hepadnaviridae,422951006.0,SNOMED,virus,71,1
Vírus da hepatite A,32452004.0,SNOMED,virus,72,1
Vírus da hepatite B,81665004.0,SNOMED,virus,73,1
Vírus da hepatite C,62944002.0,SNOMED,virus,74,1
Hepatite D,83617006.0,SNOMED,virus,75,1
Vírus da hepatite E,78475006.0,SNOMED,virus,76,1
Herpesviridae,128377001.0,SNOMED,virus,77,1
Histoplasma,81951003.0,SNOMED,fungi,78,1
Histoplasma capsulatum,56596006.0,SNOMED,fungi,79,1
"Herpesvírus humano 1 (HHV1, vírus Herpes simplex 1, HSV1)",407451003.0,SNOMED,virus,80,1
"Herpesvírus humano 2 (HHV2, vírus Herpes Simplex 2, HSV2)",407450002.0,SNOMED,virus,81,1
"Herpesvírus humano 3 (vírus Varicella-zoster, VZV)",19551004.0,SNOMED,virus,82,1
"Herpesvírus humano 4 (vírus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,83,1
"Herpesvírus humano 5 (Citomegalovírus humanbeta5, hCMV)",243579005.0,SNOMED,virus,84,1
Herpesvírus humano 6 (vírus Roseola infantum),103528003.0,SNOMED,virus,85,1
Vírus da Imunodeficiência Humana (HIV),19030005.0,SNOMED,virus,86,1
Vírus da imunodeficiência humana tipo 1 (HIV-1),89293008.0,SNOMED,virus,87,1
Vírus da imunodeficiência humana tipo 2 (HIV-2),36115006.0,SNOMED,virus,89,1
Metapneumovírus Humano (hMPV),416730002.0,SNOMED,virus,90,1
Vírus Parainfluenza Humano,407498006.0,SNOMED,virus,91,1
Vírus Parainfluenza Humano 1,407489008.0,SNOMED,virus,92,1
Vírus Parainfluenza Humano 2,407491000.0,SNOMED,virus,93,1
Vírus Parainfluenza Humano 3,407493002.0,SNOMED,virus,94,1
Vírus Parainfluenza Humano 4,89117003.0,SNOMED,virus,95,1
Parvovírus Humano b19,63603005.0,SNOMED,virus,96,1
Vírus Sincicial Respiratório Humano (RSV),6415009.0,SNOMED,virus,97,1
Bocavírus humano,446373002.0,SNOMED,virus,98,1
Coronavírus nos humanos,84101006.0,SNOMED,virus,100,1
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",101,1
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",102,1
Influenza A subtipo H5N8,708527000.0,SNOMED,virus,103,1
Gripe A tipo H7N7,715346008.0,SNOMED,virus,104,1
Vírus da gripe A,407479009.0,SNOMED,virus,105,1
Vírus influenza A subtipo H1N1,442352004.0,SNOMED,virus,106,1
Vírus influenza A subtipo H5N1,772827006.0,SNOMED,virus,107,1
Vírus influenza A subtipo H7N9,609444009.0,SNOMED,virus,108,1
Vírus da gripe B,407480007.0,SNOMED,virus,109,1
Vírus da gripe,725894000.0,SNOMED,virus,110,1
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",111,1
Vírus da encefalite japonesa (JEV),243603004.0,SNOMED,virus,112,1
Vírus Junin,26352009.0,SNOMED,virus,113,1
Vírus Lassa,85944001.0,SNOMED,virus,114,1
Leishmania,79357004.0,SNOMED,"parasite, protozoa",115,1
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",116,1
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",117,1
Complexo Leishmania brasiliensis,7400004.0,SNOMED,"parasite, protozoa",118,1
Complexo Leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",119,1
Lictiemia,734206002.0,SNOMED,fungi,120,1
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,121,1
Vírus Lujo,450622000.0,SNOMED,virus,122,1
Vírus da coriomeningite linfocítica (LCMV),82518003.0,SNOMED,virus,123,1
MERS-CoV,697932005.0,SNOMED,virus,124,1
Vírus Machupo,71489006.0,SNOMED,virus,125,1
Madurella,23009007.0,SNOMED,fungi,126,1
Malassezia pachydermatis,51257000.0,SNOMED,fungi,127,1
Morbilivírus do sarampo,52584002.0,SNOMED,virus,128,1
Metapneumovírus,407501006.0,SNOMED,virus,129,1
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,130,1
Microsporídios,418382009.0,SNOMED,"parasite, protozoa",131,1
Microsporo,11983001.0,SNOMED,fungi,132,1
Coronavírus da Síndrome Respiratória do Oriente Médio,697932005.0,SNOMED,virus,133,1
Vírus MPox,59774002.0,SNOMED,virus,134,1
Mucor,49782006.0,SNOMED,fungi,135,1
Vírus da caxumba,50384007.0,SNOMED,virus,136,1
Necator americano,43905006.0,SNOMED,"parasite, helminth",137,1
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,138,1
Vírus Nipah,115511007.0,SNOMED,virus,139,1
Norovírus,407359000.0,SNOMED,virus,140,1
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",141,1
Orthomyxoviridae (vírus influenza),55014007.0,SNOMED,virus,142,1
Papilomavírus,243584004.0,SNOMED,virus,143,1
Papoviridae,243587006.0,SNOMED,virus,144,1
Paracoccidioides,112405000.0,SNOMED,fungi,145,1
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",146,1
Paramyxoviridae,128354001.0,SNOMED,virus,147,1
Parvoviridae,243587006.0,SNOMED,virus,148,1
Penicillium,42993004.0,SNOMED,fungi,149,1
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,150,1
Picornaviridae,407344006.0,SNOMED,virus,151,1
Plasmódio,34706006.0,SNOMED,"parasite, protozoa",152,1
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",153,1
Malária por Plasmodium,56395006.0,SNOMED,"parasite, protozoa",154,1
Plasmodium oval,18508006.0,SNOMED,"parasite, protozoa",155,1
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",156,1
Pneumociste,115987006.0,SNOMED,fungi,157,1
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,158,1
Doenças príon,20484008.0,SNOMED,Prions,159,1
Vírus da raiva,59881000.0,SNOMED,virus,160,1
Vírus Sincicial Respiratório (RSV),6415009.0,SNOMED,virus,161,1
Retroviridae,77622001.0,SNOMED,virus,162,1
Rabdoviridae,407326003.0,SNOMED,virus,163,1
Rizomucor,85711000.0,SNOMED,fungi,164,1
Rizopo,17683005.0,SNOMED,fungi,165,1
Vírus da febre do Vale do Rift,28335002.0,SNOMED,virus,166,1
Vírus do Rio Ross,32458000.0,SNOMED,virus,167,1
Rotavírus,417542000.0,SNOMED,virus,168,1
Vírus da rubéola,5210005.0,SNOMED,virus,169,1
SARS-CoV-2,840533007.0,SNOMED,virus,170,1
SARS-CoV-2 Beta - B.1.351,,,virus,171,1
Delta SARS-CoV-2 - B.1.617.2,,,virus,172,1
SARS-CoV-2 Eta-B.1.525,,,virus,173,1
Gama SARS-CoV-2 - P.1,,,virus,174,1
Iota SARS-CoV-2 - B.1.526,,,virus,175,1
SARS-CoV-2 Kappa - B.1.617.1,,,virus,176,1
SARS-CoV-2 Ómicron,,,virus,177,1
SARS-CoV-2 Omícron - B.1.1.529,,,virus,178,1
SARS-CoV-2 Omícron - B.1.1.529.2 BA.2,,,virus,179,1
SARS-CoV-2 Omícron - B.1.1.529.5 BA.5,,,virus,180,1
SARS-CoV-2 Teta- P.3,,,virus,181,1
SARS-CoV-2 Zeta - P.2,,,virus,182,1
SARS-CoV-2 Alfa - B.1.1.7,,,virus,183,1
Antígeno SARS-CoV-2,840536004.0,SNOMED,virus (substance),184,1
Anticorpo IgG SARS-CoV-2,63000000000000.0,SNOMED,virus (substance),185,1
Anticorpo SARS-CoV-2 IgG/IgM,840535000.0,SNOMED,virus (substance),186,1
Anticorpo IgM SARS-CoV-2,50600000000000.0,SNOMED,virus (substance),187,1
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,188,1
Sapovírus,407362002.0,SNOMED,virus,189,1
Cedosporium,31901009.0,SNOMED,fungi,190,1
Schistosoma,53583001.0,SNOMED,"parasite, helminth",191,1
Schistosoma guinensis,,,"parasite, helminth",192,1
Schistosoma haematobium,3294004.0,SNOMED,"parasite, helminth",193,1
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",194,1
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",195,1
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",196,1
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",197,1
Síndrome Respiratória Aguda Grave Coronavírus 2,1240000000000000.0,SNOMED,virus,198,1
Coronavírus relacionado à síndrome respiratória aguda grave,415360003.0,SNOMED,virus,199,1
Febre grave com síndrome de trombocitopenia (SFTS),722401001.0,SNOMED,virus,200,1
Simplexvírus (gênero),314797000.0,SNOMED,virus,201,1
Sporothrix schenckii,32662000.0,SNOMED,fungi,202,1
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",203,1
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",204,1
Taenia solium,17966003.0,SNOMED,"parasite, helminth",205,1
Talaromyces marneffei,71825007.0,SNOMED,fungi,206,1
Togoviridae,129231002.0,SNOMED,virus,207,1
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",208,1
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",209,1
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",210,1
Triquinela espiralis,16439004.0,SNOMED,"parasite, helminth",211,1
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",212,1
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",213,1
Tricófiton,88578003.0,SNOMED,fungi,214,1
Trichosporon asahii,243475001.0,SNOMED,fungi,215,1
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",216,1
Tripanosoma,40740003.0,SNOMED,"parasite, protozoa",217,1
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",218,1
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",219,1
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",220,1
Vírus do Nilo Ocidental,57311007.0,SNOMED,virus,221,1
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",222,1
Levedura,62093005.0,SNOMED,fungi,223,1
Vírus Zika,50471002.0,SNOMED,virus,224,1
