Condition,Code,Library,Code_2,Library_2,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,Value
Trouble du sommeil,F51.9,ICD10,39898005,SNOMED,,,,71
Éternuements,R06.7,ICD10,162367006,SNOMED,,,1.0,72
Mal de gorge (douleur dans la gorge),R07.0,ICD10,267102003,SNOMED,,,1.0,73
Troubles de la parole,R47.9,ICD10,29164008,SNOMED,,,,74
Ecchymoses spontanées (ecchymoses spontanées),R23.3,ICD10,161887000,SNOMED,,,,75
Transpiration (hyperhidrose),R61,ICD10,312230002,SNOMED,,,,76
Ganglions lymphatiques enflés (ganglions lymphatiques hypertrophiés),R59.9,ICD10,30746006,SNOMED,,,,77
Acouphènes,H93.1,ICD10,60862001,SNOMED,,,,78
Tremblement,R25.1,ICD10,26079004,SNOMED,,,,79
Incontinence urinaire,R32,ICD10,165232002,SNOMED,,,,80
Troubles visuels,H53,ICD10,63102001,SNOMED,,,,81
Une respiration sifflante,R06.2,ICD10,56018004,SNOMED,,,1.0,82
