Microorganism,Code,Library,Type,Value,Selected
virus del dengue,34348001.0,SNOMED,virus,48,1
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",49,1
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",50,1
virus del ébola,424206003.0,SNOMED,virus,51,1
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",52,1
entamoeba,38324000.0,SNOMED,"parasite, protozoa",53,1
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",54,1
Entamoeba histolítica,4716008.0,SNOMED,"parasite, protozoa",55,1
enterobio vermicularis,55008000.0,SNOMED,"parasite, helminth",56,1
Enterovirus (género Enterovirus),243633006.0,SNOMED,virus,57,1
epidermofiton,112403007.0,SNOMED,fungi,58,1
Exophiala dermatitidis,20586007.0,SNOMED,fungi,59,1
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,60,1
Filoviridae (Familia),407325004.0,SNOMED,virus,61,1
Flaviviridae (Familia),243602009.0,SNOMED,virus,62,1
Hongos,414561005.0,SNOMED,fungi,63,1
fusarium,35238009.0,SNOMED,fungi,64,1
género Marburgvirus,424421007.0,SNOMED,virus,65,1
giardiana,61419001.0,SNOMED,"parasite, protozoa",66,1
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",67,1
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",68,1
hantavirus,49445003.0,SNOMED,virus,69,1
virus hendra,115510008.0,SNOMED,virus,70,1
Hepadnaviridae,422951006.0,SNOMED,virus,71,1
virus de la hepatitis A,32452004.0,SNOMED,virus,72,1
virus de la hepatitis B,81665004.0,SNOMED,virus,73,1
virus de la hepatitis C,62944002.0,SNOMED,virus,74,1
Hepatitis D,83617006.0,SNOMED,virus,75,1
virus de la hepatitis E,78475006.0,SNOMED,virus,76,1
Herpesviridae,128377001.0,SNOMED,virus,77,1
histoplasma,81951003.0,SNOMED,fungi,78,1
Histoplasma capsulatum,56596006.0,SNOMED,fungi,79,1
"Herpesvirus humano 1 (HHV1, virus del herpes simple 1, HSV1)",407451003.0,SNOMED,virus,80,1
"Herpesvirus humano 2 (HHV2, virus del herpes simple 2, HSV2)",407450002.0,SNOMED,virus,81,1
"Herpesvirus humano 3 (virus varicela-zóster, VZV)",19551004.0,SNOMED,virus,82,1
"Herpesvirus humano 4 (virus de Epstein-Barr, EBV)",40168006.0,SNOMED,virus,83,1
"Herpesvirus humano 5 (Citomegalovirus humanobeta5, hCMV)",243579005.0,SNOMED,virus,84,1
Herpesvirus humano 6 (virus de la roséola infantil),103528003.0,SNOMED,virus,85,1
Virus de la Inmunodeficiencia Humana (VIH),19030005.0,SNOMED,virus,86,1
Virus de la inmunodeficiencia humana tipo 1 (VIH-1),89293008.0,SNOMED,virus,87,1
Virus de la inmunodeficiencia humana tipo 2 (VIH-2),36115006.0,SNOMED,virus,89,1
Metaneumovirus humano (hMPV),416730002.0,SNOMED,virus,90,1
Virus de la parainfluenza humana,407498006.0,SNOMED,virus,91,1
Virus de la parainfluenza humana 1,407489008.0,SNOMED,virus,92,1
Virus de la parainfluenza humana 2,407491000.0,SNOMED,virus,93,1
Virus de la parainfluenza humana 3,407493002.0,SNOMED,virus,94,1
Virus de la parainfluenza humana 4,89117003.0,SNOMED,virus,95,1
Parvovirus humano b19,63603005.0,SNOMED,virus,96,1
Virus sincitial respiratorio humano (VRS),6415009.0,SNOMED,virus,97,1
bocavirus humano,446373002.0,SNOMED,virus,98,1
Coronavirus humano,84101006.0,SNOMED,virus,100,1
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",101,1
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",102,1
Influenza A subtipo H5N8,708527000.0,SNOMED,virus,103,1
Gripe A suptipo H7N7,715346008.0,SNOMED,virus,104,1
Virus de la gripe A,407479009.0,SNOMED,virus,105,1
Virus de la influenza A subtipo H1N1,442352004.0,SNOMED,virus,106,1
Virus de la influenza A subtipo H5N1,772827006.0,SNOMED,virus,107,1
Virus de la influenza A subtipo H7N9,609444009.0,SNOMED,virus,108,1
virus de la influenza B,407480007.0,SNOMED,virus,109,1
virus de la influenza,725894000.0,SNOMED,virus,110,1
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",111,1
Virus de la encefalitis japonesa (JEV),243603004.0,SNOMED,virus,112,1
virus junín,26352009.0,SNOMED,virus,113,1
virus lassa,85944001.0,SNOMED,virus,114,1
Leishmania,79357004.0,SNOMED,"parasite, protozoa",115,1
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",116,1
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",117,1
Complejo Leishmania braziliensis,7400004.0,SNOMED,"parasite, protozoa",118,1
complejo de leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",119,1
lictiemia,734206002.0,SNOMED,fungi,120,1
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,121,1
virus de lujo,450622000.0,SNOMED,virus,122,1
Virus de la coriomeningitis linfocítica (LCMV),82518003.0,SNOMED,virus,123,1
MERS-CoV,697932005.0,SNOMED,virus,124,1
virus machupo,71489006.0,SNOMED,virus,125,1
madurela,23009007.0,SNOMED,fungi,126,1
Malassezia pachydermatis,51257000.0,SNOMED,fungi,127,1
Morbilivirus del sarampión,52584002.0,SNOMED,virus,128,1
Metapneumovirus,407501006.0,SNOMED,virus,129,1
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,130,1
microsporidios,418382009.0,SNOMED,"parasite, protozoa",131,1
microsporo,11983001.0,SNOMED,fungi,132,1
Síndrome respiratorio de Oriente Medio Coronavirus,697932005.0,SNOMED,virus,133,1
virus mpox,59774002.0,SNOMED,virus,134,1
Mucor,49782006.0,SNOMED,fungi,135,1
Virus de las paperas,50384007.0,SNOMED,virus,136,1
Necator americano,43905006.0,SNOMED,"parasite, helminth",137,1
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,138,1
virus nipah,115511007.0,SNOMED,virus,139,1
Norovirus,407359000.0,SNOMED,virus,140,1
Onchocerca vólvulo,52397001.0,SNOMED,"parasite, helminth",141,1
Orthomyxoviridae (virus de la influenza),55014007.0,SNOMED,virus,142,1
virus del papiloma,243584004.0,SNOMED,virus,143,1
Papoviridae,243587006.0,SNOMED,virus,144,1
Paracoccidioides,112405000.0,SNOMED,fungi,145,1
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",146,1
Paramixoviridae,128354001.0,SNOMED,virus,147,1
Parvoviridae,243587006.0,SNOMED,virus,148,1
Penicillium,42993004.0,SNOMED,fungi,149,1
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,150,1
Picornaviridae,407344006.0,SNOMED,virus,151,1
Plasmodio,34706006.0,SNOMED,"parasite, protozoa",152,1
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",153,1
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",154,1
Plasmodium oval,18508006.0,SNOMED,"parasite, protozoa",155,1
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",156,1
neumocistis,115987006.0,SNOMED,fungi,157,1
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,158,1
Enfermedades priónicas,20484008.0,SNOMED,Prions,159,1
virus de la rabia,59881000.0,SNOMED,virus,160,1
Virus respiratorio sincitial (VSR),6415009.0,SNOMED,virus,161,1
Retroviridae,77622001.0,SNOMED,virus,162,1
rabdoviridae,407326003.0,SNOMED,virus,163,1
rizomucor,85711000.0,SNOMED,fungi,164,1
Rizopus,17683005.0,SNOMED,fungi,165,1
Virus de la fiebre del Valle del Rift,28335002.0,SNOMED,virus,166,1
Virus del río Ross,32458000.0,SNOMED,virus,167,1
Rotavirus,417542000.0,SNOMED,virus,168,1
virus de la rubéola,5210005.0,SNOMED,virus,169,1
SARS-CoV-2,840533007.0,SNOMED,virus,170,1
SARS-CoV-2 Beta-B.1.351,,,virus,171,1
Delta del SARS-CoV-2 - B.1.617.2,,,virus,172,1
SARS-CoV-2 Eta - B.1.525,,,virus,173,1
SARS-CoV-2 Gamma - P.1,,,virus,174,1
SARS-CoV-2 Iota-B.1.526,,,virus,175,1
SARS-CoV-2 Kappa - B.1.617.1,,,virus,176,1
Omicrón SARS-CoV-2,,,virus,177,1
Omicrón SARS-CoV-2 - B.1.1.529,,,virus,178,1
SARS-CoV-2 Omicron - B.1.1.529.2 BA.2,,,virus,179,1
SARS-CoV-2 Omicron - B.1.1.529.5 BA.5,,,virus,180,1
SARS-CoV-2 Theta-P.3,,,virus,181,1
SARS-CoV-2 Zeta - P.2,,,virus,182,1
SARS-CoV-2 Alfa - B.1.1.7,,,virus,183,1
Antígeno SARS-CoV-2,840536004.0,SNOMED,virus (substance),184,1
Anticuerpo IgG contra el SARS-CoV-2,63000000000000.0,SNOMED,virus (substance),185,1
Anticuerpo IgG/IgM contra el SARS-CoV-2,840535000.0,SNOMED,virus (substance),186,1
Anticuerpo IgM contra el SARS-CoV-2,50600000000000.0,SNOMED,virus (substance),187,1
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,188,1
Sapovirus,407362002.0,SNOMED,virus,189,1
Scedosporio,31901009.0,SNOMED,fungi,190,1
esquistosoma,53583001.0,SNOMED,"parasite, helminth",191,1
Schistosoma guineensis,,,"parasite, helminth",192,1
esquistosoma haematobio,3294004.0,SNOMED,"parasite, helminth",193,1
esquistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",194,1
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",195,1
esquistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",196,1
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",197,1
Síndrome Respiratorio Agudo Severo Coronavirus 2,1240000000000000.0,SNOMED,virus,198,1
Coronavirus relacionado con el síndrome respiratorio agudo severo,415360003.0,SNOMED,virus,199,1
Fiebre severa con síndrome de trombocitopenia (SFTS),722401001.0,SNOMED,virus,200,1
Simplexvirus (Género),314797000.0,SNOMED,virus,201,1
Sporothrix schenckii,32662000.0,SNOMED,fungi,202,1
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",203,1
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",204,1
Tenia solium,17966003.0,SNOMED,"parasite, helminth",205,1
Talaromyces marneffei,71825007.0,SNOMED,fungi,206,1
Togoviridae,129231002.0,SNOMED,virus,207,1
toxocara canis,88857009.0,SNOMED,"parasite, helminth",208,1
toxoplasma,61949005.0,SNOMED,"parasite, protozoa",209,1
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",210,1
Trichinella espiralis,16439004.0,SNOMED,"parasite, helminth",211,1
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",212,1
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",213,1
Tricófito,88578003.0,SNOMED,fungi,214,1
Trichosporon asahii,243475001.0,SNOMED,fungi,215,1
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",216,1
tripanosoma,40740003.0,SNOMED,"parasite, protozoa",217,1
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",218,1
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",219,1
tripanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",220,1
Virus del Nilo Occidental,57311007.0,SNOMED,virus,221,1
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",222,1
Levadura,62093005.0,SNOMED,fungi,223,1
virus zika,50471002.0,SNOMED,virus,224,1
