Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,Comment,Value
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,,,,,,,,,,25
Astroviridae,424055004.0,SNOMED,virus,,,,,,,,,,,,,,26
Gripe Aviária A H5N1,772827006.0,SNOMED,virus,,,,,,,,,,,,,,27
Gripe Aviária A H7N9,609444009.0,SNOMED,virus,,,,,,,,,,,,,,28
Bacilo,44762009.0,SNOMED,bacteria,,,,,,,,,,,,,,29
Bacillus anthracis,21927003.0,SNOMED,bacteria,,,,,,,,,,,,,,30
Bacilo cereus,84408007.0,SNOMED,bacteria,,,,,,,,,,,,,,31
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,,,,,,,,,,32
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,,,,,,,,,,33
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,,,,,,,,,,34
Blastomyces dermatitedis,65615007.0,SNOMED,fungi,,,,,,,,,,,,,,35
Bocavírus (gênero),430902006.0,SNOMED,virus,,,,,,,,,,,,,,36
Bordetella pertussis,5247005.0,SNOMED,bacteria,,,,,,,,,,,,,,37
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,38
Bunyaviridae (família),243615000.0,SNOMED,virus,,,,,,,,,,,,,,39
Burkholderia,414324002.0,SNOMED,bacteria,,,,,,,,,,,,,,40
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,,,,,,,,,,41
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,,,,,,,,,,42
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,,,,,,,,,,43
Caliciviridae (família),243627002.0,SNOMED,virus,,,,,,,,,,,,,,44
Campylobacter,35408001.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,45
Cândida,3265006.0,SNOMED,fungi,,,,,,,,,,1.0,,,,46
Candida albicans,53326005.0,SNOMED,fungi,,,,,,,,,,,,,,47
Candida auris,3490000000000.0,SNOMED,fungi,,,,,,,,,,,,,,48
Candida dubliniensis,115952006.0,SNOMED,fungi,,,,,,,,,,,,,,49
Candida glabrata,444877006.0,SNOMED,fungi,,,,,,,,,,,,,,50
Candida imperceptível,283871001.0,SNOMED,fungi,,,,,,,,,,,,,,51
Candida ortopsilose,3690000000000.0,SNOMED,fungi,,,,,,,,,,,,,,52
Candida parapsilosis,61302002.0,SNOMED,fungi,,,,,,,,,,,,,,53
Candida tropicalis,47885008.0,SNOMED,fungi,,,,,,,,,,,,,,54
Clamídia,16241000.0,SNOMED,bacteria,,,,,,,,,,,,,,55
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,,,,,,,,,,56
Chryseobacterium indologenes,113549008.0,SNOMED,bacteria,,,,,,,,,,,,,,57
Citrobacter,75972000.0,SNOMED,bacteria,,,,,,,,,,,,,,58
Citrobacter braakii,114262000.0,SNOMED,bacteria,,,,,,,,,,,,,,59
Citrobacter freundii,6265002.0,SNOMED,bacteria,,,,,,,,,,,,,,60
Citrobacter koseri,114264004.0,SNOMED,bacteria,,,,,,,,,,,,,,61
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,,,,,,,,,,62
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,63
Clostridium botulinum,13080008.0,SNOMED,bacteria,,,,,,,,,,,,,,64
Clostridium difficile,5933001.0,SNOMED,bacteria,,,,,,,,,,,,,,65
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,,,,,,,,,,,,,,66
Clostridium tetani,30917009.0,SNOMED,bacteria,,,,,,,,,,,,,,67
Staphylococcus coagulase negativa,116197008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,68
Coccidioides,8672004.0,SNOMED,fungi,,,,,,,,,,,,,,69
Coccidioides immitis,23439005.0,SNOMED,fungi,,,,,,,,,,,,,,70
Bactérias coliformes,77309002.0,SNOMED,bacteria,,,,,,,,,,,,,,71
Coronaviridae (família),243607003.0,SNOMED,virus,,,,,,,,,,,,,,72
Corinebactéria,77086004.0,SNOMED,bacteria,,,,,,,,,,,,,,73
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,,,,,,,,,,,,,,74
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,,,,,,,,,,,,,75
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,,,,,,,,,,,,,,76
Corynebacterium striatum,63815007.0,SNOMED,bacteria,,,,,,,,,,,,,,77
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,,,,,,,,,,,,,,78
Corynebacterium xerose,27101006.0,SNOMED,bacteria,,,,,,,,,,,,,,79
Vírus da Febre Hemorrágica da Crimeia-Congo (CCHF),79875007.0,SNOMED,virus,,1.0,,,,,,,,1.0,,,,80
Criptococo,17579001.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,81
Criptococcus gattii,450862004.0,SNOMED,fungi,,,,,,,,,,,,,,82
Cryptococcus neoformans,67168003.0,SNOMED,fungi,,,,,,,,,,,,,,84
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,85
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,86
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,87
Curvularia lunata,33165007.0,SNOMED,fungi,,,,,,,,,,,,,,89
Ciclospora,103560006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,90
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,91
Citomegalovírus,407444007.0,SNOMED,virus,,,,,,,,,,1.0,,,,92
Delftia,416493002.0,SNOMED,bacteria,,,,,,,,,,,,,,93
Delftia acidovorans,20432002.0,SNOMED,bacteria,,,,,,,,,,,,,,94
Deltavírus,83617006.0,SNOMED,virus,,,,,,,,,,,,,,95
Vírus da dengue,34348001.0,SNOMED,virus,,,1.0,,,,1.0,,1.0,,1.0,,,96
Dermabacter,413976002.0,SNOMED,bacteria,,,,,,,,,,,,,,97
Difteróide,54642001.0,SNOMED,bacteria,,,,,,,,,,,,,,98
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,100
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,101
Vírus Ébola,424206003.0,SNOMED,virus,,1.0,,,,,,,,1.0,,,,102
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,103
Eggerthella,414075007.0,SNOMED,bacteria,,,,,,,,,,,,,,104
Elizabeth Kingia,426244005.0,SNOMED,bacteria,,,,,,,,,,,,,,105
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,106
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,107
Entamoeba histolítica,4716008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,108
Bactérias entéricas,106544002.0,SNOMED,bacteria,,,,,,,,,,,,,,109
Enterobactérias,58683007.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,110
Enterobacter aerogenes,62592009.0,SNOMED,bacteria,,,,,,,,,,,,,,111
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,,,,,,,,,,,,,112
Enterobacter bugandensis,113611000000000.0,SNOMED,bacteria,,,,,,,,,,,,,,113
Enterobacter cloacae,14385002.0,SNOMED,bacteria,,,,,,,,,,,,,,114
Complexo Enterobacter cloacae,414102007.0,SNOMED,bacteria,,,,,,,,,,,,,,115
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,,,,,,,,,,,,,,116
Enterobacter kobei,114456008.0,SNOMED,bacteria,,,,,,,,,,,,,,117
Enterobactérias,106544002.0,SNOMED,bacteria,,,,,,,,,,,,,,118
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,119
Enterococos,2785000.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,120
Enterococcus avium,87875008.0,SNOMED,bacteria,,,,,,,,,,,,,,121
Enterococcus faecalis,78065002.0,SNOMED,bacteria,,,,,,,,,,,,,,122
Enterococcus faecium,90272000.0,SNOMED,bacteria,,,,,,,,,,,,,,123
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,,,,,,,,,,,,,,124
Enterovírus (gênero Enterovírus),243633006.0,SNOMED,virus,,,,,,,,,,,,,,125
Epidermófiton,112403007.0,SNOMED,fungi,,,,,,,,,,,,,,126
Escherichia,64735005.0,SNOMED,bacteria,,,,,,,,,,,,,,127
Escherichia coli,112283007.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,128
Exophiala dermatite,20586007.0,SNOMED,fungi,,,,,,,,,,,,,,129
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,,,,,,,,,,,,,130
Filoviridae (família),407325004.0,SNOMED,virus,,,,,,,,,,,,,,131
Flaviviridae (família),243602009.0,SNOMED,virus,,,,,,,,,,1.0,,,,132
Francisella tularensis,51526001.0,SNOMED,bacteria,,,,,,,,,,,,,,133
Fungos,414561005.0,SNOMED,fungi,,,,,,,,,,,,,,134
Fusarium,35238009.0,SNOMED,fungi,,,,,,,,,,,,,,135
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,,,,,,,,,,,,,,136
Gênero Marburgvirus,424421007.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,137
Giárdia,61419001.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,138
Giárdia intestinal,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,139
Giárdia lamblia,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,140
Bacilo Gram-Negativo,87172008.0,SNOMED,bacteria,,,,,,,,,,,,,,141
Bacilo Gram-Positivo,83514008.0,SNOMED,bacteria,,,,,,,,,,,,,,142
Coco Gram-Positivo,59206002.0,SNOMED,bacteria,,,,,,,,,,,,,,143
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,,,,,,,,,,,,,144
Haemophilus,71268004.0,SNOMED,bacteria,,,,,,,,,,,,,,145
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,,,,,,,,,,,,,146
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,147
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,,,,,,,,,,,,,148
Hafnia Alvei,76694001.0,SNOMED,bacteria,,,,,,,,,,,,,,149
Hantavírus,49445003.0,SNOMED,virus,,1.0,,,,,,,,,,,,150
Helicobacter pylori,80774000.0,SNOMED,bacteria,,,,,,,,,,,,,,151
Vírus Hendra,115510008.0,SNOMED,virus,,,,,,,,,,,,,,152
Hepadnaviridae,422951006.0,SNOMED,virus,,,,,,,,,,,,,,153
Vírus da hepatite A,32452004.0,SNOMED,virus,,,1.0,,,,,,,,,,,154
Vírus da hepatite B,81665004.0,SNOMED,virus,,,1.0,,,,,,,,,,,155
Vírus da hepatite C,62944002.0,SNOMED,virus,,,1.0,,,,,,,,,,,156
Vírus da hepatite D,83617006.0,SNOMED,virus,,,,,,,,,,,,,,157
Vírus da hepatite E,78475006.0,SNOMED,virus,,,,,,,,,,,,,,158
Herpesviridae,128377001.0,SNOMED,virus,,,,,,,,,,,,,,159
Histoplasma,81951003.0,SNOMED,fungi,,,,,,,,,,,,,,160
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,,,,,,,,,,,,161
"Herpesvírus humano 1 (HHV1, vírus Herpes simplex 1, HSV1)",407451003.0,SNOMED,virus,,,,,,,,,,1.0,,,,162
"Herpesvírus humano 2 (HHV2, vírus Herpes Simplex 2, HSV2)",407450002.0,SNOMED,virus,,,,,,,,,,1.0,,,,163
"Herpesvírus humano 3 (vírus Varicella-zoster, VZV)",19551004.0,SNOMED,virus,,,,1.0,1.0,,,,,1.0,,,,164
"Herpesvírus humano 4 (vírus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,,,,,,,,,,1.0,,,,165
"Herpesvírus humano 5 (Citomegalovírus humanbeta5, hCMV)",243579005.0,SNOMED,virus,,,,,,,,,,,,,,166
Herpesvírus humano 6 (vírus Roseola infantum),103528003.0,SNOMED,virus,,,,,,,,,,,,,,167
Vírus da Imunodeficiência Humana (HIV),19030005.0,SNOMED,virus,,,1.0,,,,,,,,,,,168
Vírus da imunodeficiência humana tipo 1 (HIV-1),89293008.0,SNOMED,virus,,,,,,,,,,,,,,169
Vírus da imunodeficiência humana tipo 2 (HIV-2),36115006.0,SNOMED,virus,,,,,,,,,,,,,,170
Metapneumovírus Humano (hMPV),416730002.0,SNOMED,virus,,,,,,,,,,,,,,171
Vírus Parainfluenza Humano,407498006.0,SNOMED,virus,,,,,,,,,,,,,,172
Vírus Parainfluenza Humano 1,407489008.0,SNOMED,virus,,,,,,,,,,,,,,173
Vírus Parainfluenza Humano 2,407491000.0,SNOMED,virus,,,,,,,,,,,,,,174
Vírus Parainfluenza Humano 3,407493002.0,SNOMED,virus,,,,,,,,,,,,,,175
Vírus Parainfluenza Humano 4,89117003.0,SNOMED,virus,,,,,,,,,,,,,,176
Parvovírus Humano b19,63603005.0,SNOMED,virus,,,,,,,,,,,,,,177
Vírus Sincicial Respiratório Humano (RSV),6415009.0,SNOMED,virus,,,,,,,,,,,,,,178
Bocavírus humano,446373002.0,SNOMED,virus,,,,,,,,,,,,,,179
Coronavírus nos humanos,84101006.0,SNOMED,virus,,,,,,,,,,,,,,180
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,181
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,182
Gripe A H1N1,442352004.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,183
Gripe A H5N1,772827006.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,184
Gripe A H5N8,708527000.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,185
Gripe A H7N7,715346008.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,186
Gripe A H7N9,609444009.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,187
Vírus da gripe A,407479009.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,188
Vírus da gripe B,407480007.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,189
Vírus da gripe,725894000.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,1.0,,,,190
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,191
Vírus da encefalite japonesa (JEV),243603004.0,SNOMED,virus,,,,,,,,,,1.0,,,,192
Vírus Junin,26352009.0,SNOMED,virus,,,,,,,,,,,,1.0,,193
Klebsiella,75032006.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,194
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,,,,,,,,,,,,,,195
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,,,,,,,,,,,,,196
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,,,,,,,,,,,,,197
"Klebsiella pneumoniae, ESBL",409801009.0,SNOMED,bacteria,,,,,,,,,,,,,,198
Klebsiella varícola,431976004.0,SNOMED,bacteria,,,,,,,,,,,,,,199
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,,,,,,,,,,,,,200
Vírus Lassa,85944001.0,SNOMED,virus,,1.0,,,,,,,,1.0,,1.0,,201
Legionela,7527002.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,202
Legionella pneumophila,80897008.0,SNOMED,bacteria,,,,,,,,,,,,,,203
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,204
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,205
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,206
Complexo Leishmania brasiliensis,7400004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,207
Complexo Leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,208
Leptospira interrogans,116401006.0,SNOMED,bacteria,,,,,,,,,,,1.0,,,209
Lictiemia,734206002.0,SNOMED,fungi,,,,,,,,,,,,,,210
Listeria monocytogenes,36094007.0,SNOMED,bacteria,,,,,,,,,,,,,,211
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,,,,,,,,,,,,,212
Vírus Lujo,450622000.0,SNOMED,virus,,,,,,,,,,,,1.0,,213
Vírus da coriomeningite linfocítica (LCMV),82518003.0,SNOMED,virus,,,,,,,,,,,,,,214
MERS-CoV,697932005.0,SNOMED,virus,,,,,,,,1.0,,1.0,,,,215
Vírus Machupo,71489006.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,216
Madurella,23009007.0,SNOMED,fungi,,,,,,,,,,,,,,217
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,,,,,,,,,,,,218
Morbilivírus do sarampo,52584002.0,SNOMED,virus,,,,1.0,1.0,,,,,,,,,219
Metapneumovírus,407501006.0,SNOMED,virus,,,,,,,,,,,,,,220
Staphylococcus aureus resistente à meticilina (MRSA),115329001.0,SNOMED,bacteria,,,,,,,,,,,,,,221
Staphylococcus aureus suscetível à meticilina (MSSA),417943000.0,SNOMED,bacteria,,,,,,,,,,,,,,222
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,,,,,,,,,,,,223
Micrococo,52864008.0,SNOMED,bacteria,,,,,,,,,,,,,,224
Micrococo luteus,48299003.0,SNOMED,bacteria,,,,,,,,,,,,,,225
Microsporídios,418382009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,226
Microsporo,11983001.0,SNOMED,fungi,,,,,,,,,,,,,,227
Coronavírus da Síndrome Respiratória do Oriente Médio,697932005.0,SNOMED,virus,,,,,,,,,,,,,,228
Mirabilis,79589007.0,SNOMED,bacteria,,,,,,,,,,,,,,229
Moraxela,36361003.0,SNOMED,bacteria,,,,,,,,,,,,,,230
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,,,,,,,,,,,,,231
Morganela,50713005.0,SNOMED,bacteria,,,,,,,,,,,,,,232
Morganella morganii,243301005.0,SNOMED,bacteria,,,,,,,,,,,,,,233
Vírus MPox,59774002.0,SNOMED,virus,1.0,,,1.0,1.0,,,,,,,,,234
Mucor,49782006.0,SNOMED,fungi,,,,,,,,,,,,,,235
Vírus da caxumba,50384007.0,SNOMED,virus,,,,,,,,,,1.0,,,,236
Micobactéria,243368001.0,SNOMED,bacteria,,,,,,,,,,,,,,237
Mycobacterium leprae,58242002.0,SNOMED,bacteria,,,,,,,,,,,,,,238
Mycobacterium tuberculose,113861009.0,SNOMED,bacteria,,,,,,,,,,,,,,239
"Mycobacterium, não-tuberculose",110379001.0,SNOMED,bacteria,,,,,,,,,,,,,,240
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,,,,,,,,,,,,,,241
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,,,,,,,,,,,,,,242
Necator americano,43905006.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,243
Neisseria meningitidis,17872004.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,244
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,,,,,,,,,,,,245
Vírus Nipah,115511007.0,SNOMED,virus,,,,,,,,,,1.0,,,,246
Asteróides Nocardia,30092002.0,SNOMED,bacteria,,,,,,,,,,,,,,247
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,,,,,,,,,,,,,248
Norovírus,407359000.0,SNOMED,virus,,,,,,,,,,,,,,249
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,250
Orthomyxoviridae (vírus influenza),55014007.0,SNOMED,virus,,,,,,,,,,,,,,251
Papilomavírus,243584004.0,SNOMED,virus,,,,,,,,,,,,,,252
Papoviridae,243587006.0,SNOMED,virus,,,,,,,,,,,,,,253
Paracoccidioides,112405000.0,SNOMED,fungi,,,,,,,,,,,,,,254
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,255
Paramyxoviridae,128354001.0,SNOMED,virus,,,,,,,,,,,,,,256
Parvoviridae,243587006.0,SNOMED,virus,,,,,,,,,,,,,,257
Penicillium,42993004.0,SNOMED,fungi,,,,,,,,,,,,,,258
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,,,,,,,,,,,,259
Picornaviridae,407344006.0,SNOMED,virus,,,,,,,,,,,,,,260
Plasmódio,34706006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,261
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,1.0,,262
Malária por Plasmodium,56395006.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,263
Plasmodium oval,18508006.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,264
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,1.0,,265
Pneumociste,115987006.0,SNOMED,fungi,,,,,,,,,,,,,,266
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,,,,,,,,1.0,,,,267
Doenças príon,20484008.0,SNOMED,Prions,,,,,,,,,,1.0,,,,268
Propionibactéria,34844008.0,SNOMED,bacteria,,,,,,,,,,,,,,269
Propionibacterium acnes,39473003.0,SNOMED,bacteria,,,,,,,,,,,,,,270
Proteu,50517009.0,SNOMED,bacteria,,,,,,,,,,,,,,271
Proteus mirabilis,73457008.0,SNOMED,bacteria,,,,,,,,,,,,,,272
Proteus vulgaris,45834001.0,SNOMED,bacteria,,,,,,,,,,,,,,273
Providência rettgeri,14196002.0,SNOMED,bacteria,,,,,,,,,,,,,,274
Providencia stuartii,1445008.0,SNOMED,bacteria,,,,,,,,,,,,,,275
Pseudomonas,57032008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,276
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,,,,,,,,,,,,,277
Pseudomonas fluorescentes,39289003.0,SNOMED,bacteria,,,,,,,,,,,,,,278
Pseudomonas putida,68608003.0,SNOMED,bacteria,,,,,,,,,,,,,,279
Vírus da raiva,59881000.0,SNOMED,virus,,,,,,,,,,1.0,,,,280
Raoultella,417468005.0,SNOMED,bacteria,,,,,,,,,,,,,,281
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,,,,,,,,,,,,,282
Raoultella planticola,416264004.0,SNOMED,bacteria,,,,,,,,,,,,,,283
Vírus Sincicial Respiratório (RSV),6415009.0,SNOMED,virus,,,,,,,,1.0,,,,,,284
Retroviridae,77622001.0,SNOMED,virus,,,,,,,,,,1.0,,,,285
Rabdoviridae,407326003.0,SNOMED,virus,,,,,,,,,,,,,,286
Rizomucor,85711000.0,SNOMED,fungi,,,,,,,,,,,,,,287
Rizopo,17683005.0,SNOMED,fungi,,,,,,,,,,,,,,288
Vírus da febre do Vale do Rift,28335002.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,289
Vírus do Rio Ross,32458000.0,SNOMED,virus,,,,,,,,,,,,,,290
Rotavírus,417542000.0,SNOMED,virus,,,,,,,,,,,,,,291
Vírus da rubéola,5210005.0,SNOMED,virus,,,,,,,,,,,,,,292
SARS-CoV-2,840533007.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,1.0,,,,293
SARS-CoV-2 Beta - B.1.351,840533008.0,SNOMED,virus,,,,,,,,,,,,,,294
Delta SARS-CoV-2 - B.1.617.2,840533009.0,SNOMED,virus,,,,,,,,,,,,,,295
SARS-CoV-2 Eta-B.1.525,840533010.0,SNOMED,virus,,,,,,,,,,,,,,296
Gama SARS-CoV-2 - P.1,840533011.0,SNOMED,virus,,,,,,,,,,,,,,297
Iota SARS-CoV-2 - B.1.526,840533012.0,SNOMED,virus,,,,,,,,,,,,,,298
SARS-CoV-2 Kappa - B.1.617.1,840533013.0,SNOMED,virus,,,,,,,,,,,,,,299
SARS-CoV-2 Ómicron,840533014.0,SNOMED,virus,,,,,,,,,,,,,,300
SARS-CoV-2 Omícron - B.1.1.529,840533015.0,SNOMED,virus,,,,,,,,,,,,,,301
SARS-CoV-2 Omícron - B.1.1.529.2 BA.2,840533016.0,SNOMED,virus,,,,,,,,,,,,,,302
SARS-CoV-2 Omícron - B.1.1.529.5 BA.5,840533017.0,SNOMED,virus,,,,,,,,,,,,,,303
SARS-CoV-2 Teta- P.3,840533018.0,SNOMED,virus,,,,,,,,,,,,,,304
SARS-CoV-2 Zeta - P.2,840533019.0,SNOMED,virus,,,,,,,,,,,,,,305
