Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
"Mezlocilline (Baypen, Melocin, Bezlin, Optocillin)",J01CA10,ATC,,,,,,,,,,,,82
"Minocycline (Minocin, Ximino)",J01AA08,ATC,,,,,,,,,,,,83
"Moxifloxacine (Avelox, Vigamox)",J01MA14,ATC,1.0,,,,,,,,,,,84
Nafcilline,J01CF06,ATC,,,,,,,,,,,,85
"Acide nalidixique (NegGram, Wintomylon)",J01MB02,ATC,,,,,,,,,,,,86
Néomycine (Neovet),J01GB05,ATC,,,,,,,,,,,,87
Nétilmicine (Netromycine),J01GB07,ATC,,,,,,,,,,,,89
"Nitrofural (Aldomycine, Furacine, NFZ)",D08AF01,ATC,,,,,,,,,,,,90
"Nitrofurantoïne (Macrobid, Macrodantin)",J01XE01,ATC,1.0,,,,,,,,,,,91
"Norfloxacine (Trizolin, Noroxin)",J01MA06,ATC,,,,,,,,,,,,92
Novobiocine (Albadry),90220005,SNOMED,,,,,,,,,,,,93
"Ofloxacine (Floxin, Ocuflox)",J01MA01,ATC,,,,,,,,,,,,94
Oxacilline (Bactocill),J01CF04,ATC,,,,,,,,,,,,95
"Oxytétracycline (Agrimycine, Noromycine)",J01AA06,ATC,,,,,,,,,,,,96
Pipéracilline,J01CA12,ATC,,,,,,,,,,,,97
"Pipéracilline/inhibiteur de bêta-lactamase (Pipéracilline/Tazobactam, Pip-Taz, Tazocel, Tazocin, Zosyn,",J01CR05,ATC,1.0,,,,,,,,,,,98
Pivmécillinam (Selexid),J01CA08,ATC,1.0,,,,,,,,,,,100
Plazomicine (Zemdri),J01GB14,ATC,,,,,,,,,,,,101
"Polymyxine B (Poly-Rx, Polysporine)",J01XB02,ATC,,,,,,,,,,,,102
"Procaïne benzylpénicilline (pénicilline G, bactracilline G, norocilline)",J01CE09,ATC,,,,,,,,,,,,103
Pyrazinamide,J04AK01,ATC,,,,,,,,,,,,104
Quinupristine/Dalfopristine (Synercid),J01FG02,ATC,,,,,,,,,,,,105
Rétapamuline (Altabax),D06AX13,ATC,,,,,,,,,,,,106
"Rifampicine (Rifadin, Rimactane)",J04AB02,ATC,1.0,,,,,,,,,,,107
Rifapentine (Priftine),J04AB05,ATC,,,,,,,,,,,,108
Rifaximine (Xifaxan),A07AA11,ATC,1.0,,,,,,,,,,,109
"Roxithromycine (Biaxsig, Rulide)",J01FA06,ATC,,,,,,,,,,,,110
Sparfloxacine (Spacin),J01MA09,ATC,,,,,,,,,,,,111
Spectinomycine (SpectoGard),J01XX04,ATC,,,,,,,,,,,,112
Streptomycine,J01GA01,ATC,,,,,,,,,,,,113
Sulfadiazine,J01EC02,ATC,,,,,,,,,,,,114
Sulfaméthoxazole (Gantanol),J01EC01,ATC,1.0,,,,,,,,,,,115
"Sulfaméthoxazole/Triméthoprime (Bactrim, Co-trimoxazole, Septra)",J01EE01,ATC,1.0,,,,,,,,,,,116
"Sulfisoxazole (Sulfafurazole, Truxazole)",J01EB05,ATC,,,,,,,,,,,,117
Teicoplanine (Targocid),J01XA02,ATC,,,,,,,,,,,,118
"Télavancine (Télévancine, Vibativ)",J01XA03,ATC,,,,,,,,,,,,119
Télithromycine (Levviax),J01FA15,ATC,,,,,,,,,,,,120
"Tétracycline (Viabecline, Vitastem)",J01AA07,ATC,,,,,,,,,,,,121
Ticarcilline,J01CA13,ATC,,,,,,,,,,,,122
Ticarcilline/inhibiteur de bêta-lactamase (Ticacilline/Clavulanate),J01CR03,ATC,,,,,,,,,,,,123
Tigécycline (Tygacil),J01AA12,ATC,1.0,,,,,,,,,,,124
"Tobramycine (Nebcin, Tobrex, Tobi)",J01GB01,ATC,1.0,,,,,,,,,,,125
Triméthoprime (Primsol),J01EA01,ATC,1.0,,,,,,,,,,,126
Trovafloxacine (Trovan),J01MA13,ATC,,,,,,,,,,,,127
"Vancomycine (Vancocin, Vancocin HCl, Firvanq)",J01XA01,ATC,1.0,,,,,,1.0,,,1.0,,128
Voriconazole (Vfend),J02AC03,ATC,,,,,,,,,,,,129
Xibornol,J01XX02,ATC,,,,,,,,,,,,130
