Country,Region,Income group,Code,Selected,Value
Costa Rica,América Latina e Caribe,Upper middle income,CRI,,45
Cuba,América Latina e Caribe,Upper middle income,CUB,,46
Curaçau,América Latina e Caribe,High income,CUW,,47
Ilhas Cayman,América Latina e Caribe,High income,CYM,,48
Chipre,Europa e Ásia Central,High income,CYP,,49
Tcheca,Europa e Ásia Central,High income,CZE,,50
Alemanha,Europa e Ásia Central,High income,DEU,,51
Djibuti,Oriente Médio e Norte da África,Lower middle income,DJI,,52
Domínica,América Latina e Caribe,Upper middle income,DMA,,53
Dinamarca,Europa e Ásia Central,High income,DNK,,54
República Dominicana,América Latina e Caribe,Upper middle income,DOM,,55
Argélia,Oriente Médio e Norte da África,Lower middle income,DZA,,56
Equador,América Latina e Caribe,Upper middle income,ECU,,57
"Egito, República Árabe",Oriente Médio e Norte da África,Lower middle income,EGY,,58
Eritreia,África Subsaariana,Low income,ERI,,59
Espanha,Europa e Ásia Central,High income,ESP,,60
Estônia,Europa e Ásia Central,High income,EST,,61
Etiópia,África Subsaariana,Low income,ETH,,62
Finlândia,Europa e Ásia Central,High income,FIN,,63
Fiji,Ásia Oriental e Pacífico,Upper middle income,FJI,,64
França,Europa e Ásia Central,High income,FRA,,65
Ilhas Faroé,Europa e Ásia Central,High income,FRO,,66
"Micronésia, Fed. Santos.",Ásia Oriental e Pacífico,Lower middle income,FSM,,67
Gabão,África Subsaariana,Upper middle income,GAB,,68
Reino Unido,Europa e Ásia Central,High income,GBR,,69
Geórgia,Europa e Ásia Central,Upper middle income,GEO,,70
Gana,África Subsaariana,Lower middle income,GHA,,71
Gibraltar,Europa e Ásia Central,High income,GIB,,72
Guiné,África Subsaariana,Lower middle income,GIN,,73
"Gâmbia, A",África Subsaariana,Low income,GMB,,74
Guiné-Bissau,África Subsaariana,Low income,GNB,,75
Guiné Equatorial,África Subsaariana,Upper middle income,GNQ,,76
Grécia,Europa e Ásia Central,High income,GRC,,77
Granada,América Latina e Caribe,Upper middle income,GRD,,78
Groenlândia,Europa e Ásia Central,High income,GRL,,79
Guatemala,América Latina e Caribe,Upper middle income,GTM,,80
Guam,Ásia Oriental e Pacífico,High income,GUM,,81
Guiana,América Latina e Caribe,High income,GUY,,82
"RAE de Hong Kong, China",Ásia Oriental e Pacífico,High income,HKG,,83
Honduras,América Latina e Caribe,Lower middle income,HND,,84
Croácia,Europa e Ásia Central,High income,HRV,,85
Haiti,América Latina e Caribe,Lower middle income,HTI,,86
Hungria,Europa e Ásia Central,High income,HUN,,87
Indonésia,Ásia Oriental e Pacífico,Upper middle income,IDN,,88
Ilha de Man,Europa e Ásia Central,High income,IMN,,89
Índia,Sul da Ásia,Lower middle income,IND,,90
Irlanda,Europa e Ásia Central,High income,IRL,,91
"Irã, Rep. Islâmica.",Oriente Médio e Norte da África,Lower middle income,IRN,,92
Iraque,Oriente Médio e Norte da África,Upper middle income,IRQ,,93
Islândia,Europa e Ásia Central,High income,ISL,,94
Israel,Oriente Médio e Norte da África,High income,ISR,,95
Itália,Europa e Ásia Central,High income,ITA,,96
Jamaica,América Latina e Caribe,Upper middle income,JAM,,97
Jordânia,Oriente Médio e Norte da África,Lower middle income,JOR,,98
Japão,Ásia Oriental e Pacífico,High income,JPN,,99
Cazaquistão,Europa e Ásia Central,Upper middle income,KAZ,,100
Quênia,África Subsaariana,Lower middle income,KEN,,101
República do Quirguistão,Europa e Ásia Central,Lower middle income,KGZ,,102
Camboja,Ásia Oriental e Pacífico,Lower middle income,KHM,,103
Quiribáti,Ásia Oriental e Pacífico,Lower middle income,KIR,,104
São Cristóvão e Nevis,América Latina e Caribe,High income,KNA,,105
"Coreia, Rep.",Ásia Oriental e Pacífico,High income,KOR,,106
Kuwait,Oriente Médio e Norte da África,High income,KWT,,107
República Popular Democrática do Laos,Ásia Oriental e Pacífico,Lower middle income,LAO,,108
Líbano,Oriente Médio e Norte da África,Lower middle income,LBN,,109
Libéria,África Subsaariana,Low income,LBR,,110
Líbia,Oriente Médio e Norte da África,Upper middle income,LBY,,111
Santa Lúcia,América Latina e Caribe,Upper middle income,LCA,,112
Liechtenstein,Europa e Ásia Central,High income,LIE,,113
Sri Lanka,Sul da Ásia,Lower middle income,LKA,,114
Lesoto,África Subsaariana,Lower middle income,LSO,,115
Lituânia,Europa e Ásia Central,High income,LTU,,116
Luxemburgo,Europa e Ásia Central,High income,LUX,,117
Letónia,Europa e Ásia Central,High income,LVA,,118
"RAE de Macau, China",Ásia Oriental e Pacífico,High income,MAC,,119
São Martinho (parte francesa),América Latina e Caribe,High income,MAF,,120
Marrocos,Oriente Médio e Norte da África,Lower middle income,MAR,,121
Mônaco,Europa e Ásia Central,High income,MCO,,122
Moldávia,Europa e Ásia Central,Upper middle income,MDA,,123
Madagáscar,África Subsaariana,Low income,MDG,,124
Maldivas,Sul da Ásia,Upper middle income,MDV,,125
México,América Latina e Caribe,Upper middle income,MEX,,126
Ilhas Marshall,Ásia Oriental e Pacífico,Upper middle income,MHL,,127
Macedônia do Norte,Europa e Ásia Central,Upper middle income,MKD,,128
Mali,África Subsaariana,Low income,MLI,,129
Malta,Oriente Médio e Norte da África,High income,MLT,,130
Mianmar,Ásia Oriental e Pacífico,Lower middle income,MMR,,131
Montenegro,Europa e Ásia Central,Upper middle income,MNE,,132
Mongólia,Ásia Oriental e Pacífico,Lower middle income,MNG,,133
Ilhas Marianas do Norte,Ásia Oriental e Pacífico,High income,MNP,,134
Moçambique,África Subsaariana,Low income,MOZ,,135
Mauritânia,África Subsaariana,Lower middle income,MRT,,136
Maurício,África Subsaariana,Upper middle income,MUS,,137
Maláui,África Subsaariana,Low income,MWI,,138
Malásia,Ásia Oriental e Pacífico,Upper middle income,MYS,,139
Namíbia,África Subsaariana,Upper middle income,NAM,,140
Nova Caledônia,Ásia Oriental e Pacífico,High income,NCL,,141
Níger,África Subsaariana,Low income,NER,,142
Nigéria,África Subsaariana,Lower middle income,NGA,,143
Nicarágua,América Latina e Caribe,Lower middle income,NIC,,144
Holanda,Europa e Ásia Central,High income,NLD,,145
Noruega,Europa e Ásia Central,High income,NOR,,146
Nepal,Sul da Ásia,Lower middle income,NPL,,147
Nauru,Ásia Oriental e Pacífico,High income,NRU,,148
Nova Zelândia,Ásia Oriental e Pacífico,High income,NZL,,149
Omã,Oriente Médio e Norte da África,High income,OMN,,150
Paquistão,Sul da Ásia,Lower middle income,PAK,,151
Panamá,América Latina e Caribe,High income,PAN,,152
Peru,América Latina e Caribe,Upper middle income,PER,,153
Filipinas,Ásia Oriental e Pacífico,Lower middle income,PHL,,154
Palau,Ásia Oriental e Pacífico,Upper middle income,PLW,,155
Papua Nova Guiné,Ásia Oriental e Pacífico,Lower middle income,PNG,,156
Polônia,Europa e Ásia Central,High income,POL,,157
Porto Rico,América Latina e Caribe,High income,PRI,,158
"Coreia, Dem. Deputado Popular",Ásia Oriental e Pacífico,Low income,PRK,,159
Portugal,Europa e Ásia Central,High income,PRT,,160
Paraguai,América Latina e Caribe,Upper middle income,PRY,,161
Cisjordânia e Gaza,Oriente Médio e Norte da África,Upper middle income,PSE,,162
Polinésia Francesa,Ásia Oriental e Pacífico,High income,PYF,,163
Catar,Oriente Médio e Norte da África,High income,QAT,,164
Romênia,Europa e Ásia Central,High income,ROU,,165
Federação Russa,Europa e Ásia Central,Upper middle income,RUS,,166
Ruanda,África Subsaariana,Low income,RWA,,167
Arábia Saudita,Oriente Médio e Norte da África,High income,SAU,,168
Sudão,África Subsaariana,Low income,SDN,,169
Senegal,África Subsaariana,Lower middle income,SEN,,170
Cingapura,Ásia Oriental e Pacífico,High income,SGP,,171
Ilhas Salomão,Ásia Oriental e Pacífico,Lower middle income,SLB,,172
Serra Leoa,África Subsaariana,Low income,SLE,,173
El Salvador,América Latina e Caribe,Upper middle income,SLV,,174
São Marino,Europa e Ásia Central,High income,SMR,,175
Somália,África Subsaariana,Low income,SOM,,176
Sérvia,Europa e Ásia Central,Upper middle income,SRB,,177
Sudão do Sul,África Subsaariana,Low income,SSD,,178
São Tomé e Príncipe,África Subsaariana,Lower middle income,STP,,179
Suriname,América Latina e Caribe,Upper middle income,SUR,,180
República Eslovaca,Europa e Ásia Central,High income,SVK,,181
Eslovênia,Europa e Ásia Central,High income,SVN,,182
Suécia,Europa e Ásia Central,High income,SWE,,183
Essuatíni,África Subsaariana,Lower middle income,SWZ,,184
Sint Maarten (parte holandesa),América Latina e Caribe,High income,SXM,,185
Seicheles,África Subsaariana,High income,SYC,,186
República Árabe Síria,Oriente Médio e Norte da África,Low income,SYR,,187
Ilhas Turcas e Caicos,América Latina e Caribe,High income,TCA,,188
Chade,África Subsaariana,Low income,TCD,,189
Ir,África Subsaariana,Low income,TGO,,190
Tailândia,Ásia Oriental e Pacífico,Upper middle income,THA,,191
Tadjiquistão,Europa e Ásia Central,Lower middle income,TJK,,192
Turcomenistão,Europa e Ásia Central,Upper middle income,TKM,,193
Timor-Leste,Ásia Oriental e Pacífico,Lower middle income,TLS,,194
Tonga,Ásia Oriental e Pacífico,Upper middle income,TON,,195
Trinidad e Tobago,América Latina e Caribe,High income,TTO,,196
Tunísia,Oriente Médio e Norte da África,Lower middle income,TUN,,197
Turquia,Europa e Ásia Central,Upper middle income,TUR,,198
Tuvalu,Ásia Oriental e Pacífico,Upper middle income,TUV,,199
"Taiwan, China",Ásia Oriental e Pacífico,High income,TWN,,200
Tanzânia,África Subsaariana,Lower middle income,TZA,,201
Uganda,África Subsaariana,Low income,UGA,,202
Ucrânia,Europa e Ásia Central,Lower middle income,UKR,,203
Uruguai,América Latina e Caribe,High income,URY,,204
Estados Unidos,América do Norte,High income,USA,,205
Uzbequistão,Europa e Ásia Central,Lower middle income,UZB,,206
São Vicente e Granadinas,América Latina e Caribe,Upper middle income,VCT,,207
"Venezuela, RB",América Latina e Caribe,,VEN,,208
Ilhas Virgens Britânicas,América Latina e Caribe,High income,VGB,,209
Ilhas Virgens (EUA),América Latina e Caribe,High income,VIR,,210
Vietnã,Ásia Oriental e Pacífico,Lower middle income,VNM,,211
Vanuatu,Ásia Oriental e Pacífico,Lower middle income,VUT,,212
Samoa,Ásia Oriental e Pacífico,Lower middle income,WSM,,213
Kosovo,Europa e Ásia Central,Upper middle income,XKX,,214
"Iêmen, Rep.",Oriente Médio e Norte da África,Low income,YEM,,215
África do Sul,África Subsaariana,Upper middle income,ZAF,,216
Zâmbia,África Subsaariana,Lower middle income,ZMB,,217
Zimbábue,África Subsaariana,Lower middle income,ZWE,,218
