Country,Region,Income group,Code,Selected,Value
Portugal,Europa y Asia Central,High income,PRI,,160
Paraguay,América Latina y el Caribe,Low income,PRK,,161
Cisjordania y Gaza,Oriente Medio y Norte de África,High income,PRT,,162
Polinesia Francesa,Asia Oriental y Pacífico,Upper middle income,PRY,,163
Catar,Oriente Medio y Norte de África,Upper middle income,PSE,,164
Rumania,Europa y Asia Central,High income,PYF,,165
Federación Rusa,Europa y Asia Central,High income,QAT,,166
Ruanda,África subsahariana,High income,ROU,,167
Arabia Saudita,Oriente Medio y Norte de África,Upper middle income,RUS,,168
Sudán,África subsahariana,Low income,RWA,,169
Senegal,África subsahariana,High income,SAU,,170
Singapur,Asia Oriental y Pacífico,Low income,SDN,,171
Islas Salomón,Asia Oriental y Pacífico,Lower middle income,SEN,,172
Sierra Leona,África subsahariana,High income,SGP,,173
Salvador,América Latina y el Caribe,Lower middle income,SLB,,174
San Marino,Europa y Asia Central,Low income,SLE,,175
Somalia,África subsahariana,Upper middle income,SLV,,176
Serbia,Europa y Asia Central,High income,SMR,,177
Sudán del Sur,África subsahariana,Low income,SOM,,178
Santo Tomé y Príncipe,África subsahariana,Upper middle income,SRB,,179
Surinam,América Latina y el Caribe,Low income,SSD,,180
República Eslovaca,Europa y Asia Central,Lower middle income,STP,,181
Eslovenia,Europa y Asia Central,Upper middle income,SUR,,182
Suecia,Europa y Asia Central,High income,SVK,,183
Esuatini,África subsahariana,High income,SVN,,184
Sint Maarten (parte holandesa),América Latina y el Caribe,High income,SWE,,185
Seychelles,África subsahariana,Lower middle income,SWZ,,186
República Árabe Siria,Oriente Medio y Norte de África,High income,SXM,,187
Islas Turcas y Caicos,América Latina y el Caribe,High income,SYC,,188
Chad,África subsahariana,Low income,SYR,,189
Ir,África subsahariana,High income,TCA,,190
Tailandia,Asia Oriental y Pacífico,Low income,TCD,,191
Tayikistán,Europa y Asia Central,Low income,TGO,,192
Turkmenistán,Europa y Asia Central,Upper middle income,THA,,193
Timor Oriental,Asia Oriental y Pacífico,Lower middle income,TJK,,194
Tonga,Asia Oriental y Pacífico,Upper middle income,TKM,,195
Trinidad y Tobago,América Latina y el Caribe,Lower middle income,TLS,,196
Túnez,Oriente Medio y Norte de África,Upper middle income,TON,,197
Turquía,Europa y Asia Central,High income,TTO,,198
Tuvalu,Asia Oriental y Pacífico,Lower middle income,TUN,,199
"Taiwán, China",Asia Oriental y Pacífico,Upper middle income,TUR,,200
Tanzania,África subsahariana,Upper middle income,TUV,,201
Uganda,África subsahariana,High income,TWN,,202
Ucrania,Europa y Asia Central,Lower middle income,TZA,,203
Uruguay,América Latina y el Caribe,Low income,UGA,,204
Estados Unidos,América del norte,Lower middle income,UKR,,205
Uzbekistán,Europa y Asia Central,High income,URY,,206
San Vicente y las Granadinas,América Latina y el Caribe,High income,USA,,207
"Venezuela, RB",América Latina y el Caribe,Lower middle income,UZB,,208
Islas Vírgenes Británicas,América Latina y el Caribe,Upper middle income,VCT,,209
Islas Vírgenes (EE.UU.),América Latina y el Caribe,,VEN,,210
Vietnam,Asia Oriental y Pacífico,High income,VGB,,211
Vanuatu,Asia Oriental y Pacífico,High income,VIR,,212
Samoa,Asia Oriental y Pacífico,Lower middle income,VNM,,213
Kosovo,Europa y Asia Central,Lower middle income,VUT,,214
"Yemen, Rep.",Oriente Medio y Norte de África,Lower middle income,WSM,,215
Sudáfrica,África subsahariana,Upper middle income,XKX,,216
Zambia,África subsahariana,Low income,YEM,,217
Zimbabue,África subsahariana,Upper middle income,ZAF,,218
Zambia,Sub-Saharan Africa,Lower middle income,ZMB,,219
Zimbabue,Sub-Saharan Africa,Lower middle income,ZWE,,220
