Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,Comment,Value
Bunyaviridae (famille),243615000.0,SNOMED,virus,,,,,,,,,,,,,,39
Burkholderia,414324002.0,SNOMED,bacteria,,,,,,,,,,,,,,40
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,,,,,,,,,,41
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,,,,,,,,,,42
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,,,,,,,,,,43
Caliciviridae (famille),243627002.0,SNOMED,virus,,,,,,,,,,,,,,44
Campylobactérie,35408001.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,45
Candidose,3265006.0,SNOMED,fungi,,,,,,,,,,1.0,,,,46
Candida albicans,53326005.0,SNOMED,fungi,,,,,,,,,,,,,,47
Candida auris,3490000000000.0,SNOMED,fungi,,,,,,,,,,,,,,48
Candida dubliniensis,115952006.0,SNOMED,fungi,,,,,,,,,,,,,,49
Candida glabrata,444877006.0,SNOMED,fungi,,,,,,,,,,,,,,50
Candida inconspicua,283871001.0,SNOMED,fungi,,,,,,,,,,,,,,51
Orthopsilose à Candida,3690000000000.0,SNOMED,fungi,,,,,,,,,,,,,,52
Candida parapsilose,61302002.0,SNOMED,fungi,,,,,,,,,,,,,,53
Candida tropicale,47885008.0,SNOMED,fungi,,,,,,,,,,,,,,54
Chlamydia,16241000.0,SNOMED,bacteria,,,,,,,,,,,,,,55
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,,,,,,,,,,56
Chryseobacterium indogenes,113549008.0,SNOMED,bacteria,,,,,,,,,,,,,,57
Citrobactérie,75972000.0,SNOMED,bacteria,,,,,,,,,,,,,,58
Citrobacter braakii,114262000.0,SNOMED,bacteria,,,,,,,,,,,,,,59
Citrobactérie freundii,6265002.0,SNOMED,bacteria,,,,,,,,,,,,,,60
Citrobacter koseri,114264004.0,SNOMED,bacteria,,,,,,,,,,,,,,61
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,,,,,,,,,,62
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,63
Clostridium botulique,13080008.0,SNOMED,bacteria,,,,,,,,,,,,,,64
Clostridium difficile,5933001.0,SNOMED,bacteria,,,,,,,,,,,,,,65
Clostridium difficile (toxine positive),736050006.0,SNOMED,bacteria,,,,,,,,,,,,,,66
Clostridium tetani,30917009.0,SNOMED,bacteria,,,,,,,,,,,,,,67
Staphylocoque à coagulase négative,116197008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,68
Coccidioides,8672004.0,SNOMED,fungi,,,,,,,,,,,,,,69
Coccidioides immitis,23439005.0,SNOMED,fungi,,,,,,,,,,,,,,70
Bactéries coliformes,77309002.0,SNOMED,bacteria,,,,,,,,,,,,,,71
Coronaviridae (famille),243607003.0,SNOMED,virus,,,,,,,,,,,,,,72
Corynebactérie,77086004.0,SNOMED,bacteria,,,,,,,,,,,,,,73
Corynebactérie amycolatum,113611002.0,SNOMED,bacteria,,,,,,,,,,,,,,74
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,,,,,,,,,,,,,75
Corynebacterium pseudotuberculose,55084001.0,SNOMED,bacteria,,,,,,,,,,,,,,76
Corynebactérie striatum,63815007.0,SNOMED,bacteria,,,,,,,,,,,,,,77
Corynebacterium Ulcerans,103428000.0,SNOMED,bacteria,,,,,,,,,,,,,,78
Corynebacterium xérose,27101006.0,SNOMED,bacteria,,,,,,,,,,,,,,79
Virus de la fièvre hémorragique de Crimée-Congo (CCHF),79875007.0,SNOMED,virus,,1.0,,,,,,,,1.0,,,,80
Cryptocoque,17579001.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,81
Cryptococcus gattii,450862004.0,SNOMED,fungi,,,,,,,,,,,,,,82
Cryptococcus néoformans,67168003.0,SNOMED,fungi,,,,,,,,,,,,,,84
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,85
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,86
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,87
Curvulaire lunaire,33165007.0,SNOMED,fungi,,,,,,,,,,,,,,89
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,90
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,91
Cytomégalovirus,407444007.0,SNOMED,virus,,,,,,,,,,1.0,,,,92
Delftie,416493002.0,SNOMED,bacteria,,,,,,,,,,,,,,93
Delftia acidovorans,20432002.0,SNOMED,bacteria,,,,,,,,,,,,,,94
Deltavirus,83617006.0,SNOMED,virus,,,,,,,,,,,,,,95
Virus de la dengue,34348001.0,SNOMED,virus,,,1.0,,,,1.0,,1.0,,1.0,,,96
Dermabactérie,413976002.0,SNOMED,bacteria,,,,,,,,,,,,,,97
Diphtéroïde,54642001.0,SNOMED,bacteria,,,,,,,,,,,,,,98
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,100
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,101
Virus Ebola,424206003.0,SNOMED,virus,,1.0,,,,,,,,1.0,,,,102
Échinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,103
Eggerthella,414075007.0,SNOMED,bacteria,,,,,,,,,,,,,,104
Elizabethkingia,426244005.0,SNOMED,bacteria,,,,,,,,,,,,,,105
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,106
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,107
Entamoeba histolytique,4716008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,108
Bactéries entériques,106544002.0,SNOMED,bacteria,,,,,,,,,,,,,,109
Entérobactérie,58683007.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,110
Enterobacter aérogènes,62592009.0,SNOMED,bacteria,,,,,,,,,,,,,,111
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,,,,,,,,,,,,,112
Enterobacter bugandensis,113611000000000.0,SNOMED,bacteria,,,,,,,,,,,,,,113
Enterobacter cloacae,14385002.0,SNOMED,bacteria,,,,,,,,,,,,,,114
Complexe Enterobacter cloacae,414102007.0,SNOMED,bacteria,,,,,,,,,,,,,,115
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,,,,,,,,,,,,,,116
Enterobacter Kobei,114456008.0,SNOMED,bacteria,,,,,,,,,,,,,,117
Entérobactéries,106544002.0,SNOMED,bacteria,,,,,,,,,,,,,,118
Enterobius vermiculaire,55008000.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,119
Entérocoque,2785000.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,120
Entérocoque avium,87875008.0,SNOMED,bacteria,,,,,,,,,,,,,,121
Enterococcus faecalis,78065002.0,SNOMED,bacteria,,,,,,,,,,,,,,122
Enterococcus faecium,90272000.0,SNOMED,bacteria,,,,,,,,,,,,,,123
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,,,,,,,,,,,,,,124
Entérovirus (genre Enterovirus),243633006.0,SNOMED,virus,,,,,,,,,,,,,,125
Épidermophyton,112403007.0,SNOMED,fungi,,,,,,,,,,,,,,126
Escherichia,64735005.0,SNOMED,bacteria,,,,,,,,,,,,,,127
Escherichia coli,112283007.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,128
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,,,,,,,,,,,,,129
Falciformispora senegalensis (anciennement Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,,,,,,,,,,,,,130
Filoviridae (famille),407325004.0,SNOMED,virus,,,,,,,,,,,,,,131
Flaviviridés (famille),243602009.0,SNOMED,virus,,,,,,,,,,1.0,,,,132
Francisella tularensis,51526001.0,SNOMED,bacteria,,,,,,,,,,,,,,133
Champignons,414561005.0,SNOMED,fungi,,,,,,,,,,,,,,134
Fusarium,35238009.0,SNOMED,fungi,,,,,,,,,,,,,,135
Fusobactérie nucléatum,32763000.0,SNOMED,bacteria,,,,,,,,,,,,,,136
Genre Marburgvirus,424421007.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,137
Giardia,61419001.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,138
Giardia intestinale,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,139
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,140
Bacille Gram négatif,87172008.0,SNOMED,bacteria,,,,,,,,,,,,,,141
Bacille Gram positif,83514008.0,SNOMED,bacteria,,,,,,,,,,,,,,142
Coccus à Gram positif,59206002.0,SNOMED,bacteria,,,,,,,,,,,,,,143
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,,,,,,,,,,,,,144
Hémophilus,71268004.0,SNOMED,bacteria,,,,,,,,,,,,,,145
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,,,,,,,,,,,,,146
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,147
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,,,,,,,,,,,,,148
Hafnia alvei,76694001.0,SNOMED,bacteria,,,,,,,,,,,,,,149
Hantavirus,49445003.0,SNOMED,virus,,1.0,,,,,,,,,,,,150
Helicobacter pylori,80774000.0,SNOMED,bacteria,,,,,,,,,,,,,,151
Virus Hendra,115510008.0,SNOMED,virus,,,,,,,,,,,,,,152
Hépadnaviridae,422951006.0,SNOMED,virus,,,,,,,,,,,,,,153
Virus de l'hépatite A,32452004.0,SNOMED,virus,,,1.0,,,,,,,,,,,154
Virus de l'hépatite B,81665004.0,SNOMED,virus,,,1.0,,,,,,,,,,,155
Virus de l'hépatite C,62944002.0,SNOMED,virus,,,1.0,,,,,,,,,,,156
Virus de l'hépatite D,83617006.0,SNOMED,virus,,,,,,,,,,,,,,157
Virus de l'hépatite E,78475006.0,SNOMED,virus,,,,,,,,,,,,,,158
Herpèsviridés,128377001.0,SNOMED,virus,,,,,,,,,,,,,,159
Histoplasma,81951003.0,SNOMED,fungi,,,,,,,,,,,,,,160
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,,,,,,,,,,,,161
"Herpèsvirus humain 1 (HHV1, Herpes simplex virus 1, HSV1)",407451003.0,SNOMED,virus,,,,,,,,,,1.0,,,,162
"Herpèsvirus humain 2 (HHV2, Herpes Simplex virus 2, HSV2)",407450002.0,SNOMED,virus,,,,,,,,,,1.0,,,,163
"Herpèsvirus humain 3 (virus varicelle-zona, VZV)",19551004.0,SNOMED,virus,,,,1.0,1.0,,,,,1.0,,,,164
"Herpèsvirus humain 4 (virus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,,,,,,,,,,1.0,,,,165
"Herpèsvirus humain 5 (Cytomégalovirus humanbeta5, hCMV)",243579005.0,SNOMED,virus,,,,,,,,,,,,,,166
Herpèsvirus humain 6 (virus de la roseola infantum),103528003.0,SNOMED,virus,,,,,,,,,,,,,,167
Virus de l'immunodéficience humaine (VIH),19030005.0,SNOMED,virus,,,1.0,,,,,,,,,,,168
Virus de l'immunodéficience humaine de type 1 (VIH-1),89293008.0,SNOMED,virus,,,,,,,,,,,,,,169
Virus de l'immunodéficience humaine de type 2 (VIH-2),36115006.0,SNOMED,virus,,,,,,,,,,,,,,170
Métapneumovirus humain (hMPV),416730002.0,SNOMED,virus,,,,,,,,,,,,,,171
Virus parainfluenza humain,407498006.0,SNOMED,virus,,,,,,,,,,,,,,172
Virus parainfluenza humain 1,407489008.0,SNOMED,virus,,,,,,,,,,,,,,173
Virus parainfluenza humain 2,407491000.0,SNOMED,virus,,,,,,,,,,,,,,174
Virus parainfluenza humain 3,407493002.0,SNOMED,virus,,,,,,,,,,,,,,175
Virus parainfluenza humain 4,89117003.0,SNOMED,virus,,,,,,,,,,,,,,176
Parvovirus humain b19,63603005.0,SNOMED,virus,,,,,,,,,,,,,,177
Virus respiratoire syncytial humain (VRS),6415009.0,SNOMED,virus,,,,,,,,,,,,,,178
Bocavirus humain,446373002.0,SNOMED,virus,,,,,,,,,,,,,,179
Coronavirus humain,84101006.0,SNOMED,virus,,,,,,,,,,,,,,180
Hyménolépis diminuta,23895005.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,181
Hyménolépis nana,74311004.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,182
Grippe A H1N1,442352004.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,183
Grippe A H5N1,772827006.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,184
Grippe A H5N8,708527000.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,185
Grippe A H7N7,715346008.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,186
Grippe A H7N9,609444009.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,187
Virus de la grippe A,407479009.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,188
Virus de la grippe B,407480007.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,,,,,189
Virus de la grippe,725894000.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,1.0,,,,190
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,191
Virus de l'encéphalite japonaise (JEV),243603004.0,SNOMED,virus,,,,,,,,,,1.0,,,,192
Virus Junin,26352009.0,SNOMED,virus,,,,,,,,,,,,1.0,,193
Klebsiella,75032006.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,194
Klebsiella aérogène,62592009.0,SNOMED,bacteria,,,,,,,,,,,,,,195
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,,,,,,,,,,,,,196
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,,,,,,,,,,,,,197
"Klebsiella pneumoniae, BLSE",409801009.0,SNOMED,bacteria,,,,,,,,,,,,,,198
Klebsiella variicule,431976004.0,SNOMED,bacteria,,,,,,,,,,,,,,199
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,,,,,,,,,,,,,200
Virus de Lassa,85944001.0,SNOMED,virus,,1.0,,,,,,,,1.0,,1.0,,201
Légionelle,7527002.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,202
Legionella pneumophila,80897008.0,SNOMED,bacteria,,,,,,,,,,,,,,203
Leishmanie,79357004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,204
Leishmanie Viannia,712933004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,205
Leishmanie brésilienne,83196002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,206
Complexe Leishmania braziliensis,7400004.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,207
Complexe de Leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,208
Interrogateurs de Leptospira,116401006.0,SNOMED,bacteria,,,,,,,,,,,1.0,,,209
Lichtiémie,734206002.0,SNOMED,fungi,,,,,,,,,,,,,,210
Listeria monocytogènes,36094007.0,SNOMED,bacteria,,,,,,,,,,,,,,211
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,,,,,,,,,,,,,212
Virus Lujo,450622000.0,SNOMED,virus,,,,,,,,,,,,1.0,,213
Virus de la chorioméningite lymphocytaire (LCMV),82518003.0,SNOMED,virus,,,,,,,,,,,,,,214
MERS-CoV,697932005.0,SNOMED,virus,,,,,,,,1.0,,1.0,,,,215
Virus Machupo,71489006.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,216
Madurelle,23009007.0,SNOMED,fungi,,,,,,,,,,,,,,217
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,,,,,,,,,,,,218
Morbillivirus de la rougeole,52584002.0,SNOMED,virus,,,,1.0,1.0,,,,,,,,,219
Métapneumovirus,407501006.0,SNOMED,virus,,,,,,,,,,,,,,220
Staphylococcus aureus résistant à la méthicilline (SARM),115329001.0,SNOMED,bacteria,,,,,,,,,,,,,,221
Staphylococcus aureus sensible à la méthicilline (MSSA),417943000.0,SNOMED,bacteria,,,,,,,,,,,,,,222
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,,,,,,,,,,,,223
Microcoque,52864008.0,SNOMED,bacteria,,,,,,,,,,,,,,224
Micrococcus jaune,48299003.0,SNOMED,bacteria,,,,,,,,,,,,,,225
Microsporidies,418382009.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,226
Microsporum,11983001.0,SNOMED,fungi,,,,,,,,,,,,,,227
Coronavirus du syndrome respiratoire du Moyen-Orient,697932005.0,SNOMED,virus,,,,,,,,,,,,,,228
Mirabilis,79589007.0,SNOMED,bacteria,,,,,,,,,,,,,,229
Moraxelle,36361003.0,SNOMED,bacteria,,,,,,,,,,,,,,230
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,,,,,,,,,,,,,231
Morganelle,50713005.0,SNOMED,bacteria,,,,,,,,,,,,,,232
Morganella morganii,243301005.0,SNOMED,bacteria,,,,,,,,,,,,,,233
Virus Mvariole,59774002.0,SNOMED,virus,1.0,,,1.0,1.0,,,,,,,,,234
Mucor,49782006.0,SNOMED,fungi,,,,,,,,,,,,,,235
Virus des oreillons,50384007.0,SNOMED,virus,,,,,,,,,,1.0,,,,236
Mycobactérie,243368001.0,SNOMED,bacteria,,,,,,,,,,,,,,237
Mycobactérie leprae,58242002.0,SNOMED,bacteria,,,,,,,,,,,,,,238
Mycobactérie tuberculose,113861009.0,SNOMED,bacteria,,,,,,,,,,,,,,239
"Mycobactérie, non tuberculeuse",110379001.0,SNOMED,bacteria,,,,,,,,,,,,,,240
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,,,,,,,,,,,,,,241
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,,,,,,,,,,,,,,242
Nécator américain,43905006.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,243
Neisseria méningitidis,17872004.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,244
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,,,,,,,,,,,,245
virus Nipah,115511007.0,SNOMED,virus,,,,,,,,,,1.0,,,,246
Nocardia astéroïdes,30092002.0,SNOMED,bacteria,,,,,,,,,,,,,,247
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,,,,,,,,,,,,,248
Norovirus,407359000.0,SNOMED,virus,,,,,,,,,,,,,,249
Volvulus d'Onchocerca,52397001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,250
Orthomyxoviridae (virus de la grippe),55014007.0,SNOMED,virus,,,,,,,,,,,,,,251
Papillomavirus,243584004.0,SNOMED,virus,,,,,,,,,,,,,,252
Papoviridés,243587006.0,SNOMED,virus,,,,,,,,,,,,,,253
Paracoccidioides,112405000.0,SNOMED,fungi,,,,,,,,,,,,,,254
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,255
Paramyxoviridés,128354001.0,SNOMED,virus,,,,,,,,,,,,,,256
Parvoviridés,243587006.0,SNOMED,virus,,,,,,,,,,,,,,257
Pénicillium,42993004.0,SNOMED,fungi,,,,,,,,,,,,,,258
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,,,,,,,,,,,,259
Picornaviridés,407344006.0,SNOMED,virus,,,,,,,,,,,,,,260
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,261
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,1.0,,262
Plasmodium paludisme,56395006.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,263
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,264
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,1.0,,265
Pneumocystis,115987006.0,SNOMED,fungi,,,,,,,,,,,,,,266
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,,,,,,,,1.0,,,,267
Maladies à prions,20484008.0,SNOMED,Prions,,,,,,,,,,1.0,,,,268
Propionibactérie,34844008.0,SNOMED,bacteria,,,,,,,,,,,,,,269
Propionibactérie acnés,39473003.0,SNOMED,bacteria,,,,,,,,,,,,,,270
Protée,50517009.0,SNOMED,bacteria,,,,,,,,,,,,,,271
Proteus mirabilis,73457008.0,SNOMED,bacteria,,,,,,,,,,,,,,272
Protée vulgaire,45834001.0,SNOMED,bacteria,,,,,,,,,,,,,,273
Providencia rettgeri,14196002.0,SNOMED,bacteria,,,,,,,,,,,,,,274
Providence stuartii,1445008.0,SNOMED,bacteria,,,,,,,,,,,,,,275
Pseudomonas,57032008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,276
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,,,,,,,,,,,,,277
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,,,,,,,,,,,,,,278
Pseudomonas putida,68608003.0,SNOMED,bacteria,,,,,,,,,,,,,,279
Virus de la rage,59881000.0,SNOMED,virus,,,,,,,,,,1.0,,,,280
Raoultella,417468005.0,SNOMED,bacteria,,,,,,,,,,,,,,281
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,,,,,,,,,,,,,282
Raoultella planticola,416264004.0,SNOMED,bacteria,,,,,,,,,,,,,,283
Virus respiratoire syncytial (VRS),6415009.0,SNOMED,virus,,,,,,,,1.0,,,,,,284
Rétroviridés,77622001.0,SNOMED,virus,,,,,,,,,,1.0,,,,285
Rhabdoviridés,407326003.0,SNOMED,virus,,,,,,,,,,,,,,286
Rhizomucor,85711000.0,SNOMED,fungi,,,,,,,,,,,,,,287
Rhizopus,17683005.0,SNOMED,fungi,,,,,,,,,,,,,,288
Virus de la fièvre de la vallée du Rift,28335002.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,289
Virus de la rivière Ross,32458000.0,SNOMED,virus,,,,,,,,,,,,,,290
Rotavirus,417542000.0,SNOMED,virus,,,,,,,,,,,,,,291
Virus de la rubéole,5210005.0,SNOMED,virus,,,,,,,,,,,,,,292
SRAS-CoV-2,840533007.0,SNOMED,virus,1.0,,,,,1.0,,1.0,,1.0,,,,293
SARS-CoV-2 bêta - B.1.351,840533008.0,SNOMED,virus,,,,,,,,,,,,,,294
Delta du SRAS-CoV-2 - B.1.617.2,840533009.0,SNOMED,virus,,,,,,,,,,,,,,295
SRAS-CoV-2 Eta - B.1.525,840533010.0,SNOMED,virus,,,,,,,,,,,,,,296
SARS-CoV-2 Gamma - P.1,840533011.0,SNOMED,virus,,,,,,,,,,,,,,297
SRAS-CoV-2 Iota - B.1.526,840533012.0,SNOMED,virus,,,,,,,,,,,,,,298
SRAS-CoV-2 Kappa - B.1.617.1,840533013.0,SNOMED,virus,,,,,,,,,,,,,,299
SRAS-CoV-2 Omicron,840533014.0,SNOMED,virus,,,,,,,,,,,,,,300
SRAS-CoV-2 Omicron - B.1.1.529,840533015.0,SNOMED,virus,,,,,,,,,,,,,,301
SRAS-CoV-2 Omicron - B.1.1.529.2 BA.2,840533016.0,SNOMED,virus,,,,,,,,,,,,,,302
SRAS-CoV-2 Omicron - B.1.1.529.5 BA.5,840533017.0,SNOMED,virus,,,,,,,,,,,,,,303
SARS-CoV-2 Thêta- P.3,840533018.0,SNOMED,virus,,,,,,,,,,,,,,304
