Country,Region,Income group,Code,Selected,Value
Saint-Kitts-et-Nevis,Amérique latine et Caraïbes,Lower middle income,KHM,,105
"Corée, Rép.",Asie de l'Est et Pacifique,Lower middle income,KIR,,106
Koweit,Moyen-Orient et Afrique du Nord,High income,KNA,,107
RDP lao,Asie de l'Est et Pacifique,High income,KOR,,108
Liban,Moyen-Orient et Afrique du Nord,High income,KWT,,109
Libéria,Afrique subsaharienne,Lower middle income,LAO,,110
Libye,Moyen-Orient et Afrique du Nord,Lower middle income,LBN,,111
Sainte-Lucie,Amérique latine et Caraïbes,Low income,LBR,,112
Liechtenstein,Europe et Asie centrale,Upper middle income,LBY,,113
Sri Lanka,Asie du Sud,Upper middle income,LCA,,114
Lesotho,Afrique subsaharienne,High income,LIE,,115
Lituanie,Europe et Asie centrale,Lower middle income,LKA,,116
Luxembourg,Europe et Asie centrale,Lower middle income,LSO,,117
Lettonie,Europe et Asie centrale,High income,LTU,,118
"RAS de Macao, Chine",Asie de l'Est et Pacifique,High income,LUX,,119
Saint-Martin (partie française),Amérique latine et Caraïbes,High income,LVA,,120
Maroc,Moyen-Orient et Afrique du Nord,High income,MAC,,121
Monaco,Europe et Asie centrale,High income,MAF,,122
Moldavie,Europe et Asie centrale,Lower middle income,MAR,,123
Madagascar,Afrique subsaharienne,High income,MCO,,124
Maldives,Asie du Sud,Upper middle income,MDA,,125
Mexique,Amérique latine et Caraïbes,Low income,MDG,,126
Îles Marshall,Asie de l'Est et Pacifique,Upper middle income,MDV,,127
Macédoine du Nord,Europe et Asie centrale,Upper middle income,MEX,,128
Mali,Afrique subsaharienne,Upper middle income,MHL,,129
Malte,Moyen-Orient et Afrique du Nord,Upper middle income,MKD,,130
Birmanie,Asie de l'Est et Pacifique,Low income,MLI,,131
Monténégro,Europe et Asie centrale,High income,MLT,,132
Mongolie,Asie de l'Est et Pacifique,Lower middle income,MMR,,133
Îles Mariannes du Nord,Asie de l'Est et Pacifique,Upper middle income,MNE,,134
Mozambique,Afrique subsaharienne,Lower middle income,MNG,,135
Mauritanie,Afrique subsaharienne,High income,MNP,,136
Maurice,Afrique subsaharienne,Low income,MOZ,,137
Malawi,Afrique subsaharienne,Lower middle income,MRT,,138
Malaisie,Asie de l'Est et Pacifique,Upper middle income,MUS,,139
Namibie,Afrique subsaharienne,Low income,MWI,,140
Nouvelle-Calédonie,Asie de l'Est et Pacifique,Upper middle income,MYS,,141
Niger,Afrique subsaharienne,Upper middle income,NAM,,142
Nigeria,Afrique subsaharienne,High income,NCL,,143
Nicaragua,Amérique latine et Caraïbes,Low income,NER,,144
Pays-Bas,Europe et Asie centrale,Lower middle income,NGA,,145
Norvège,Europe et Asie centrale,Lower middle income,NIC,,146
Népal,Asie du Sud,High income,NLD,,147
Nauru,Asie de l'Est et Pacifique,High income,NOR,,148
Nouvelle-Zélande,Asie de l'Est et Pacifique,Lower middle income,NPL,,149
Oman,Moyen-Orient et Afrique du Nord,High income,NRU,,150
Pakistan,Asie du Sud,High income,NZL,,151
Panama,Amérique latine et Caraïbes,High income,OMN,,152
Pérou,Amérique latine et Caraïbes,Lower middle income,PAK,,153
Philippines,Asie de l'Est et Pacifique,High income,PAN,,154
Palaos,Asie de l'Est et Pacifique,Upper middle income,PER,,155
Papouasie-Nouvelle-Guinée,Asie de l'Est et Pacifique,Lower middle income,PHL,,156
Pologne,Europe et Asie centrale,Upper middle income,PLW,,157
Porto Rico,Amérique latine et Caraïbes,Lower middle income,PNG,,158
"Corée, Dém. Représentant du peuple.",Asie de l'Est et Pacifique,High income,POL,,159
Portugal,Europe et Asie centrale,High income,PRI,,160
Paraguay,Amérique latine et Caraïbes,Low income,PRK,,161
Cisjordanie et Gaza,Moyen-Orient et Afrique du Nord,High income,PRT,,162
Polynésie française,Asie de l'Est et Pacifique,Upper middle income,PRY,,163
Qatar,Moyen-Orient et Afrique du Nord,Upper middle income,PSE,,164
Roumanie,Europe et Asie centrale,High income,PYF,,165
Fédération de Russie,Europe et Asie centrale,High income,QAT,,166
Rwanda,Afrique subsaharienne,High income,ROU,,167
Arabie Saoudite,Moyen-Orient et Afrique du Nord,Upper middle income,RUS,,168
Soudan,Afrique subsaharienne,Low income,RWA,,169
Sénégal,Afrique subsaharienne,High income,SAU,,170
Singapour,Asie de l'Est et Pacifique,Low income,SDN,,171
Îles Salomon,Asie de l'Est et Pacifique,Lower middle income,SEN,,172
Sierra Leone,Afrique subsaharienne,High income,SGP,,173
Salvador,Amérique latine et Caraïbes,Lower middle income,SLB,,174
Saint-Marin,Europe et Asie centrale,Low income,SLE,,175
Somalie,Afrique subsaharienne,Upper middle income,SLV,,176
Serbie,Europe et Asie centrale,High income,SMR,,177
Soudan du Sud,Afrique subsaharienne,Low income,SOM,,178
São Tomé et Príncipe,Afrique subsaharienne,Upper middle income,SRB,,179
Surinam,Amérique latine et Caraïbes,Low income,SSD,,180
République slovaque,Europe et Asie centrale,Lower middle income,STP,,181
Slovénie,Europe et Asie centrale,Upper middle income,SUR,,182
Suède,Europe et Asie centrale,High income,SVK,,183
Eswatini,Afrique subsaharienne,High income,SVN,,184
Sint Maarten (partie néerlandaise),Amérique latine et Caraïbes,High income,SWE,,185
Seychelles,Afrique subsaharienne,Lower middle income,SWZ,,186
République arabe syrienne,Moyen-Orient et Afrique du Nord,High income,SXM,,187
Îles Turques et Caïques,Amérique latine et Caraïbes,High income,SYC,,188
Tchad,Afrique subsaharienne,Low income,SYR,,189
Aller,Afrique subsaharienne,High income,TCA,,190
Thaïlande,Asie de l'Est et Pacifique,Low income,TCD,,191
Tadjikistan,Europe et Asie centrale,Low income,TGO,,192
Turkménistan,Europe et Asie centrale,Upper middle income,THA,,193
Timor-Leste,Asie de l'Est et Pacifique,Lower middle income,TJK,,194
Tonga,Asie de l'Est et Pacifique,Upper middle income,TKM,,195
Trinité-et-Tobago,Amérique latine et Caraïbes,Lower middle income,TLS,,196
Tunisie,Moyen-Orient et Afrique du Nord,Upper middle income,TON,,197
Turquie,Europe et Asie centrale,High income,TTO,,198
Tuvalu,Asie de l'Est et Pacifique,Lower middle income,TUN,,199
"Taïwan, Chine",Asie de l'Est et Pacifique,Upper middle income,TUR,,200
Tanzanie,Afrique subsaharienne,Upper middle income,TUV,,201
Ouganda,Afrique subsaharienne,High income,TWN,,202
Ukraine,Europe et Asie centrale,Lower middle income,TZA,,203
Uruguay,Amérique latine et Caraïbes,Low income,UGA,,204
États-Unis,Amérique du Nord,Lower middle income,UKR,,205
Ouzbékistan,Europe et Asie centrale,High income,URY,,206
Saint-Vincent-et-les Grenadines,Amérique latine et Caraïbes,High income,USA,,207
"Venezuela, RB",Amérique latine et Caraïbes,Lower middle income,UZB,,208
Îles Vierges britanniques,Amérique latine et Caraïbes,Upper middle income,VCT,,209
Îles Vierges (États-Unis),Amérique latine et Caraïbes,,VEN,,210
Viêt Nam,Asie de l'Est et Pacifique,High income,VGB,,211
Vanuatu,Asie de l'Est et Pacifique,High income,VIR,,212
Samoa,Asie de l'Est et Pacifique,Lower middle income,VNM,,213
Kosovo,Europe et Asie centrale,Lower middle income,VUT,,214
"Yémen, Rép.",Moyen-Orient et Afrique du Nord,Lower middle income,WSM,,215
Afrique du Sud,Afrique subsaharienne,Upper middle income,XKX,,216
Zambie,Afrique subsaharienne,Low income,YEM,,217
Zimbabwe,Afrique subsaharienne,Upper middle income,ZAF,,218
Zambie,Sub-Saharan Africa,Lower middle income,ZMB,,219
Zimbabwe,Sub-Saharan Africa,Lower middle income,ZWE,,220
