Country,Region,Income group,Code,Selected,Value
Cambodge,Asie de l'Est et Pacifique,Lower middle income,KHM,,103
Kiribati,Asie de l'Est et Pacifique,Lower middle income,KIR,,104
Saint-Kitts-et-Nevis,Amérique latine et Caraïbes,High income,KNA,,105
"Corée, Rép.",Asie de l'Est et Pacifique,High income,KOR,,106
Koweit,Moyen-Orient et Afrique du Nord,High income,KWT,,107
RDP lao,Asie de l'Est et Pacifique,Lower middle income,LAO,,108
Liban,Moyen-Orient et Afrique du Nord,Lower middle income,LBN,,109
Libéria,Afrique subsaharienne,Low income,LBR,,110
Libye,Moyen-Orient et Afrique du Nord,Upper middle income,LBY,,111
Sainte-Lucie,Amérique latine et Caraïbes,Upper middle income,LCA,,112
Liechtenstein,Europe et Asie centrale,High income,LIE,,113
Sri Lanka,Asie du Sud,Lower middle income,LKA,,114
Lesotho,Afrique subsaharienne,Lower middle income,LSO,,115
Lituanie,Europe et Asie centrale,High income,LTU,,116
Luxembourg,Europe et Asie centrale,High income,LUX,,117
Lettonie,Europe et Asie centrale,High income,LVA,,118
"RAS de Macao, Chine",Asie de l'Est et Pacifique,High income,MAC,,119
Saint-Martin (partie française),Amérique latine et Caraïbes,High income,MAF,,120
Maroc,Moyen-Orient et Afrique du Nord,Lower middle income,MAR,,121
Monaco,Europe et Asie centrale,High income,MCO,,122
Moldavie,Europe et Asie centrale,Upper middle income,MDA,,123
Madagascar,Afrique subsaharienne,Low income,MDG,,124
Maldives,Asie du Sud,Upper middle income,MDV,,125
Mexique,Amérique latine et Caraïbes,Upper middle income,MEX,,126
Îles Marshall,Asie de l'Est et Pacifique,Upper middle income,MHL,,127
Macédoine du Nord,Europe et Asie centrale,Upper middle income,MKD,,128
Mali,Afrique subsaharienne,Low income,MLI,,129
Malte,Moyen-Orient et Afrique du Nord,High income,MLT,,130
Birmanie,Asie de l'Est et Pacifique,Lower middle income,MMR,,131
Monténégro,Europe et Asie centrale,Upper middle income,MNE,,132
Mongolie,Asie de l'Est et Pacifique,Lower middle income,MNG,,133
Îles Mariannes du Nord,Asie de l'Est et Pacifique,High income,MNP,,134
Mozambique,Afrique subsaharienne,Low income,MOZ,,135
Mauritanie,Afrique subsaharienne,Lower middle income,MRT,,136
Maurice,Afrique subsaharienne,Upper middle income,MUS,,137
Malawi,Afrique subsaharienne,Low income,MWI,,138
Malaisie,Asie de l'Est et Pacifique,Upper middle income,MYS,,139
Namibie,Afrique subsaharienne,Upper middle income,NAM,,140
Nouvelle-Calédonie,Asie de l'Est et Pacifique,High income,NCL,,141
Niger,Afrique subsaharienne,Low income,NER,,142
Nigeria,Afrique subsaharienne,Lower middle income,NGA,,143
Nicaragua,Amérique latine et Caraïbes,Lower middle income,NIC,,144
Pays-Bas,Europe et Asie centrale,High income,NLD,,145
Norvège,Europe et Asie centrale,High income,NOR,,146
Népal,Asie du Sud,Lower middle income,NPL,,147
Nauru,Asie de l'Est et Pacifique,High income,NRU,,148
Nouvelle-Zélande,Asie de l'Est et Pacifique,High income,NZL,,149
Oman,Moyen-Orient et Afrique du Nord,High income,OMN,,150
Pakistan,Asie du Sud,Lower middle income,PAK,,151
Panama,Amérique latine et Caraïbes,High income,PAN,,152
Pérou,Amérique latine et Caraïbes,Upper middle income,PER,,153
Philippines,Asie de l'Est et Pacifique,Lower middle income,PHL,,154
Palaos,Asie de l'Est et Pacifique,Upper middle income,PLW,,155
Papouasie-Nouvelle-Guinée,Asie de l'Est et Pacifique,Lower middle income,PNG,,156
Pologne,Europe et Asie centrale,High income,POL,,157
Porto Rico,Amérique latine et Caraïbes,High income,PRI,,158
"Corée, Dém. Représentant du peuple.",Asie de l'Est et Pacifique,Low income,PRK,,159
Portugal,Europe et Asie centrale,High income,PRT,,160
Paraguay,Amérique latine et Caraïbes,Upper middle income,PRY,,161
Cisjordanie et Gaza,Moyen-Orient et Afrique du Nord,Upper middle income,PSE,,162
Polynésie française,Asie de l'Est et Pacifique,High income,PYF,,163
Qatar,Moyen-Orient et Afrique du Nord,High income,QAT,,164
Roumanie,Europe et Asie centrale,High income,ROU,,165
Fédération de Russie,Europe et Asie centrale,Upper middle income,RUS,,166
Rwanda,Afrique subsaharienne,Low income,RWA,,167
Arabie Saoudite,Moyen-Orient et Afrique du Nord,High income,SAU,,168
Soudan,Afrique subsaharienne,Low income,SDN,,169
Sénégal,Afrique subsaharienne,Lower middle income,SEN,,170
Singapour,Asie de l'Est et Pacifique,High income,SGP,,171
Îles Salomon,Asie de l'Est et Pacifique,Lower middle income,SLB,,172
Sierra Leone,Afrique subsaharienne,Low income,SLE,,173
Salvador,Amérique latine et Caraïbes,Upper middle income,SLV,,174
Saint-Marin,Europe et Asie centrale,High income,SMR,,175
Somalie,Afrique subsaharienne,Low income,SOM,,176
Serbie,Europe et Asie centrale,Upper middle income,SRB,,177
Soudan du Sud,Afrique subsaharienne,Low income,SSD,,178
São Tomé et Príncipe,Afrique subsaharienne,Lower middle income,STP,,179
Surinam,Amérique latine et Caraïbes,Upper middle income,SUR,,180
République slovaque,Europe et Asie centrale,High income,SVK,,181
Slovénie,Europe et Asie centrale,High income,SVN,,182
Suède,Europe et Asie centrale,High income,SWE,,183
Eswatini,Afrique subsaharienne,Lower middle income,SWZ,,184
Sint Maarten (partie néerlandaise),Amérique latine et Caraïbes,High income,SXM,,185
Seychelles,Afrique subsaharienne,High income,SYC,,186
République arabe syrienne,Moyen-Orient et Afrique du Nord,Low income,SYR,,187
Îles Turques et Caïques,Amérique latine et Caraïbes,High income,TCA,,188
Tchad,Afrique subsaharienne,Low income,TCD,,189
Aller,Afrique subsaharienne,Low income,TGO,,190
Thaïlande,Asie de l'Est et Pacifique,Upper middle income,THA,,191
Tadjikistan,Europe et Asie centrale,Lower middle income,TJK,,192
Turkménistan,Europe et Asie centrale,Upper middle income,TKM,,193
Timor-Leste,Asie de l'Est et Pacifique,Lower middle income,TLS,,194
Tonga,Asie de l'Est et Pacifique,Upper middle income,TON,,195
Trinité-et-Tobago,Amérique latine et Caraïbes,High income,TTO,,196
Tunisie,Moyen-Orient et Afrique du Nord,Lower middle income,TUN,,197
Turquie,Europe et Asie centrale,Upper middle income,TUR,,198
Tuvalu,Asie de l'Est et Pacifique,Upper middle income,TUV,,199
"Taïwan, Chine",Asie de l'Est et Pacifique,High income,TWN,,200
Tanzanie,Afrique subsaharienne,Lower middle income,TZA,,201
Ouganda,Afrique subsaharienne,Low income,UGA,,202
Ukraine,Europe et Asie centrale,Lower middle income,UKR,,203
Uruguay,Amérique latine et Caraïbes,High income,URY,,204
États-Unis,Amérique du Nord,High income,USA,,205
Ouzbékistan,Europe et Asie centrale,Lower middle income,UZB,,206
Saint-Vincent-et-les Grenadines,Amérique latine et Caraïbes,Upper middle income,VCT,,207
"Venezuela, RB",Amérique latine et Caraïbes,,VEN,,208
Îles Vierges britanniques,Amérique latine et Caraïbes,High income,VGB,,209
Îles Vierges (États-Unis),Amérique latine et Caraïbes,High income,VIR,,210
Viêt Nam,Asie de l'Est et Pacifique,Lower middle income,VNM,,211
Vanuatu,Asie de l'Est et Pacifique,Lower middle income,VUT,,212
Samoa,Asie de l'Est et Pacifique,Lower middle income,WSM,,213
Kosovo,Europe et Asie centrale,Upper middle income,XKX,,214
"Yémen, Rép.",Moyen-Orient et Afrique du Nord,Low income,YEM,,215
Afrique du Sud,Afrique subsaharienne,Upper middle income,ZAF,,216
Zambie,Afrique subsaharienne,Lower middle income,ZMB,,217
Zimbabwe,Afrique subsaharienne,Lower middle income,ZWE,,218
