Condition,Code,Library,Code_2,Library_2,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,Value
Latido/pulso cardíaco rápido (taquicardia),R00.0,ICD10,3424008,SNOMED,,,,65
Erupciones o lesiones en la piel.,R21,ICD10,271807003,SNOMED,,,,66
Retención de orina,R33.9,ICD10,267064002,SNOMED,,,,67
Dificultad para respirar (disnea),R06.0,ICD10,267036007,SNOMED,,,1.0,68
Lesión cutánea,,,,SNOMED,1.0,,,69
erupción cutánea,R21,ICD10,271807003,SNOMED,,1.0,,70
Trastorno del sueño,F51.9,ICD10,39898005,SNOMED,,,,71
Estornudos,R06.7,ICD10,162367006,SNOMED,,,1.0,72
Dolor de garganta (Dolor de garganta),R07.0,ICD10,267102003,SNOMED,,,1.0,73
Alteraciones del habla,R47.9,ICD10,29164008,SNOMED,,,,74
Hematomas espontáneos (equimosis espontáneas),R23.3,ICD10,161887000,SNOMED,,,,75
Sudoración (hiperhidrosis),R61,ICD10,312230002,SNOMED,,,,76
Ganglios linfáticos inflamados (ganglios linfáticos agrandados),R59.9,ICD10,30746006,SNOMED,,,,77
tinnitus,H93.1,ICD10,60862001,SNOMED,,,,78
Temblor,R25.1,ICD10,26079004,SNOMED,,,,79
Incontinencia urinaria,R32,ICD10,165232002,SNOMED,,,,80
Alteraciones visuales,H53,ICD10,63102001,SNOMED,,,,81
sibilancias,R06.2,ICD10,56018004,SNOMED,,,1.0,82
