Country,Region,Income group,Code,Selected,Value
Puerto Rico,América Latina y el Caribe,High income,PRI,,158
"Korea, Dem. Representante Popular.",Asia Oriental y Pacífico,Low income,PRK,,159
Portugal,Europa y Asia Central,High income,PRT,,160
Paraguay,América Latina y el Caribe,Upper middle income,PRY,,161
Cisjordania y Gaza,Oriente Medio y Norte de África,Upper middle income,PSE,,162
Polinesia Francesa,Asia Oriental y Pacífico,High income,PYF,,163
Catar,Oriente Medio y Norte de África,High income,QAT,,164
Rumania,Europa y Asia Central,High income,ROU,,165
Federación Rusa,Europa y Asia Central,Upper middle income,RUS,,166
Ruanda,África subsahariana,Low income,RWA,,167
Arabia Saudita,Oriente Medio y Norte de África,High income,SAU,,168
Sudán,África subsahariana,Low income,SDN,,169
Senegal,África subsahariana,Lower middle income,SEN,,170
Singapur,Asia Oriental y Pacífico,High income,SGP,,171
Islas Salomón,Asia Oriental y Pacífico,Lower middle income,SLB,,172
Sierra Leona,África subsahariana,Low income,SLE,,173
Salvador,América Latina y el Caribe,Upper middle income,SLV,,174
San Marino,Europa y Asia Central,High income,SMR,,175
Somalia,África subsahariana,Low income,SOM,,176
Serbia,Europa y Asia Central,Upper middle income,SRB,,177
Sudán del Sur,África subsahariana,Low income,SSD,,178
Santo Tomé y Príncipe,África subsahariana,Lower middle income,STP,,179
Surinam,América Latina y el Caribe,Upper middle income,SUR,,180
República Eslovaca,Europa y Asia Central,High income,SVK,,181
Eslovenia,Europa y Asia Central,High income,SVN,,182
Suecia,Europa y Asia Central,High income,SWE,,183
Esuatini,África subsahariana,Lower middle income,SWZ,,184
Sint Maarten (parte holandesa),América Latina y el Caribe,High income,SXM,,185
Seychelles,África subsahariana,High income,SYC,,186
República Árabe Siria,Oriente Medio y Norte de África,Low income,SYR,,187
Islas Turcas y Caicos,América Latina y el Caribe,High income,TCA,,188
Chad,África subsahariana,Low income,TCD,,189
Ir,África subsahariana,Low income,TGO,,190
Tailandia,Asia Oriental y Pacífico,Upper middle income,THA,,191
Tayikistán,Europa y Asia Central,Lower middle income,TJK,,192
Turkmenistán,Europa y Asia Central,Upper middle income,TKM,,193
Timor Oriental,Asia Oriental y Pacífico,Lower middle income,TLS,,194
Tonga,Asia Oriental y Pacífico,Upper middle income,TON,,195
Trinidad y Tobago,América Latina y el Caribe,High income,TTO,,196
Túnez,Oriente Medio y Norte de África,Lower middle income,TUN,,197
Turquía,Europa y Asia Central,Upper middle income,TUR,,198
Tuvalu,Asia Oriental y Pacífico,Upper middle income,TUV,,199
"Taiwán, China",Asia Oriental y Pacífico,High income,TWN,,200
Tanzania,África subsahariana,Lower middle income,TZA,,201
Uganda,África subsahariana,Low income,UGA,,202
Ucrania,Europa y Asia Central,Lower middle income,UKR,,203
Uruguay,América Latina y el Caribe,High income,URY,,204
Estados Unidos,América del norte,High income,USA,,205
Uzbekistán,Europa y Asia Central,Lower middle income,UZB,,206
San Vicente y las Granadinas,América Latina y el Caribe,Upper middle income,VCT,,207
"Venezuela, RB",América Latina y el Caribe,,VEN,,208
Islas Vírgenes Británicas,América Latina y el Caribe,High income,VGB,,209
Islas Vírgenes (EE.UU.),América Latina y el Caribe,High income,VIR,,210
Vietnam,Asia Oriental y Pacífico,Lower middle income,VNM,,211
Vanuatu,Asia Oriental y Pacífico,Lower middle income,VUT,,212
Samoa,Asia Oriental y Pacífico,Lower middle income,WSM,,213
Kosovo,Europa y Asia Central,Upper middle income,XKX,,214
"Yemen, Rep.",Oriente Medio y Norte de África,Low income,YEM,,215
Sudáfrica,África subsahariana,Upper middle income,ZAF,,216
Zambia,África subsahariana,Lower middle income,ZMB,,217
Zimbabue,África subsahariana,Lower middle income,ZWE,,218
