Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev,Was the patient admitted previously or transferred from any other facility during this illness episode?,"1, YES-admitted previously to this facility and discharged | 2, YES-admitted to other facility and discharged | 3, YES-admitted to another facility, then transferred to this facility | 0, No | 99, Unknown",This refers to previous admission to a health facility or transfer from another health facility during the current episode of illness.,Select the most appropriate option that represents whether or not the patient admitted previously or transferred from any other facility during this illness episode.
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_site,Name of transfer facility,,This refers to the name of the facility from which the patient was previously admitted or transferred.,Enter the name of the facility from which the patient was previously admitted or transferred.
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_date,Date of presentation at previous facility,,This refers to the date of presentation to the facility at which the patient was previously admitted or transferred.,Enter the date of presentation to the facility at which the patient was previously admitted or transferred. (Use the format DD/MM/YYYY)
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_reastrans,Reason for transfer,"1, Escalation of care (eg. ICU/Ventilation) | 2, Lack of diagnostic facilities | 3, Proximity to home | 88, Other",This refers to the reason for transfer from facility,Select the most appropriate option that represents the reason for transfer from facility
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_reastrans_oth,Specify other reason,,This refers to the reason for transfer from facility,"If 'Other', specify the reason for transfer from facility"
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_num,Total number of previous admissions for this infection,,This refers to the number of times (for this infection) the patient has been admitted to a health facility.,Indicate the number of times (for this infection) the patient has been admitted to a health facility.
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_firstadmdate,Date of earliest admission for this infection,,"This refers to the date of the first admission for this illness. If the patient was first 'admitted to other facility, then transferred to this facility' record the date the patient was admitted to the other health facility.",Enter the date of the first admission for this illness. (Use the format DD/MM/YYYY)
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_difpin,Has the patient's data been previously collected under a different participant identification number (PIN)?,"1, Yes | 0, No | 99, Unknown",This refers to previous collection of the patient's data under a different Participant Identification Number (PIN),Indicate 'Yes' if the patient's data has been previously collected under a different participant identification number (PIN)
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevpin,Previous Participant Identification Number (PIN),,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_reas,Is the patient being re-admitted with or due to infection with pathogen of interest?,"1, Yes | 0, No | 99, Unknown",This refers to re-admission of the patient with or due to infection with pathogen of interest.,Indicate 'Yes' if the patient is being re-admitted with or due to infection with pathogen of interest.
presentation,DEMOGRAPHICS,demog_birthknow,Is the date of birth known?,"1, Yes | 0, No",This refers to the calendar date on which the patient was born.,Record the participants date of birth in DD/MM/YYYY format.
presentation,DEMOGRAPHICS,demog_birthdate,Date of birth,,This refers to the calendar date on which the patient was born.,Enter the participant's date of birth. (Use the format DD/MM/YYYY)
presentation,DEMOGRAPHICS,demog_age,Age,,This refers to the patient's age.,"For participants over the age of two years, please report age in years. For children under the age of two years, please report in months. For neonates below the age of one month, please report in days."
presentation,DEMOGRAPHICS,demog_age_units,Age units,"1, Years | 2, Months | 3, Days",This refers to the patient's age at presentation to the health facility.,Select the most appropriate units for age.
presentation,DEMOGRAPHICS,demog_calcage_days,Calculated Age (days),"if([demog_birthknow]='1', datediff([demog_birthdate], if([pres_date]='',""today"",[pres_date]), ""d"", ""dmy""), if([demog_age_units]='1', [demog_age]*365, if([demog_age_units]='2', round([demog_age]*365/12,0), if([demog_age_units]='3', [demog_age], ''))))",This refers to the patient's age in days.,"Age is calculated, if the date of birth is known, as the difference between the date of birth and the most recent date of presentation or admission to the facility."
presentation,DEMOGRAPHICS,demog_sex,Sex at birth,"1, Male | 2, Female | 99, Not specified/Unknown | 88, Other",This refers to the physical sexual characteristics at birth.,Select the most appropriate option that represents the physical sexual characteristics at birth.
presentation,DEMOGRAPHICS,demog_sex_oth,Specify other sex at birth,,This refers to the physical sexual characteristics at birth.,"If 'Other', specify the physical sexual characteristics at birth."
presentation,DEMOGRAPHICS,demog_gender,Gender,"1, Male | 2, Female | 3, Non-binary | 99, Unknown | 88, Other","This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex.",Select the most appropriate option that represents the patient's gender identity.
presentation,DEMOGRAPHICS,demog_gender_oth,Specify other gender,,"This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex.",If 'Other' specify patient's gender identity.
presentation,DEMOGRAPHICS,demog_country,Country,,This refers to the country of enrolment,Indicate the country of enrolment
presentation,DEMOGRAPHICS,demog_outcountry,Was the patient born outside the reporting country?,"1, Yes | 0, No | 99, Unknown",This refers to birth of the particpant outside the reporting country,Indicate whether the particpant was born outside the reporting country
presentation,DEMOGRAPHICS,demog_height,Height,,Actual or closest estimate to height at time of admission.,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended. For children under the age of 2, please use body length (measured while lying supine)."
presentation,DEMOGRAPHICS,demog_height_units,Height (select units),"1, cm | 2, in",,
presentation,DEMOGRAPHICS,demog_height_cm,Height (cm),,Actual or closest estimate to height at time of admission.,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended, measured in centimetres (cm). For children under the age of 2, please use body length (measured while lying supine)."
presentation,DEMOGRAPHICS,demog_height_in,Height (in),,Actual or closest estimate to height at time of admission.,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended, measured in inches (in). For children under the age of 2, please use body length (measured while lying supine)."
presentation,DEMOGRAPHICS,demog_weight,Weight,,Actual or closest estimate to weight at time of admission.,Indicate the patient's weight.
presentation,DEMOGRAPHICS,demog_weight_units,Weight (select units),"1, kg | 2, lb",,
presentation,DEMOGRAPHICS,demog_weight_kg,Weight (kg),,Actual or closest estimate to weight at time of admission.,Indicate the patient's weight in kilograms (kg).
presentation,DEMOGRAPHICS,demog_weight_lb,Weight (lb),,Actual or closest estimate to weight at time of admission.,Indicate the patient's weight in pounds (lb).
presentation,DEMOGRAPHICS,demog_race,Race (select all that apply),,This refers to a geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,Select all that apply.
presentation,DEMOGRAPHICS,demog_healthcare,Employed as a healthcare worker,"1, Yes | 0, No | 99, Unknown",This refers to a patient that is employed in the healthcare industry.,Select the most appropriate option.
presentation,DEMOGRAPHICS,demog_healthcare_ptfacing,Patient facing,"1, Yes | 0, No | 99, Unknown",This refers to a patient that is employed in the healthcare industry delivering care in patient-facing settings (i.e. roles that involve interaction directly with patients).,Select the most appropriate option.
presentation,DEMOGRAPHICS,demog_healthcare_expbiosample,Exposed to biological samples,"1, Yes | 0, No | 99, Unknown","This refers to a patient that is employed in the healthcare industry delivering care in non-patient facing settings but are exposed to biological samples (e.g. laboratory staff, medical waste handlers).",Select the most appropriate option.
presentation,DEMOGRAPHICS,demog_riskoccupa,Does the patient practise any of these professions or a profession related to their infection,,This refers to the principal activity that a person does to earn a living.,Select all that apply.
presentation,DEMOGRAPHICS,demog_occupation,Primary location of occupation,"1, Home-working or unemployed | 2, Indoors-office/health/education/hospitality/business/homes | 3, Indoors-factory | 8, Outdoors-animal contact (vet, animal farmer, abattoir worker) | 4, Outdoors-agriculture/forestry/fisheries | 5, Outdoors-construction/industrial/mining | 6, Armed Forces | 7, Student | 99, Unknown | 88, Other",This refers to the location in which the patient conducts the majority of work related to their current occupation.,Select the most appropriate option that represents the primary location of occupation.
presentation,DEMOGRAPHICS,demog_occupation_oth,Specify other primary location of occupation,,This refers to the location in which the patient conducts the majority of work related to their current occupation.,"If 'Other', specify the primary location of occupation."
presentation,DEMOGRAPHICS,demog_residence,Patient's village/city/town of residence,"1, Same as health care facility | 2, Different from health care facility | 99, Unknown",This refers to the city which a person dwells more than temporarily or lives permanently.,"If the patient's city of residence is different to the city in which this healthcare facility is located, Specify the patient's region of residence below."
presentation,DEMOGRAPHICS,demog_residence_oth,"If different from health case facility, specify the patient's region of residence.",,This refers to the city which a person dwells more than temporarily or lives permanently.,"If 'Different from health case facility', specify the patient's region of residence."
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_travel,Did the patient travel outside of their home region in the past 14 days?,"1, Yes | 0, No | 99, Unknown","This refers to travel to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began.","Indicate 'Yes', if the patient travelled to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began."
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_travel_loc,specify all city / cities or town(s) and region(s) of travel,,"This refers to all city / cities or town(s) and region(s), which the patient travelled to within 14 days before symptoms relating to the current illness began.","If the patient has travelled away from their usual place of residence within 14 days of symptom onset, enter the location(s) that were visited."
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_riskarea,"Travel to or lives in outbreak-affected, rural or high-risk areas?","1, Yes | 0, No | 99, Unknown",This refers to travel to outbreak-affect or other high-risk areas,"Indicate 'Yes', if the patient travelled to outbreak-affect or other high-risk areas"
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_contact,History of contact with suspected or confirmed human case of disease/illness from same pathogen?,"1, Yes | 0, No | 99, Unknown","This refers to the patient having a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).","Indicate 'Yes', if the patient has a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.)."
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_contact_setting,Contact setting,"1, Household | 2, Community/social | 3, Healthcare facility | 4, Occupational/workplace | 5, Sexual contact | 7, Air travel/flight | 8, Vertical transmission | 88, Other | 99, Unknown","This refers to the setting of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).",Select the most appropriate option that represents the contact setting
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_contact_setting_oth,Specify other type of contact,,"This refers to the setting of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).","If 'Other', specify the contact setting"
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_contact_date,Date of contact with suspected or confirmed case,,"This refers to the date of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).",Enter the date of contact with suspected or confirmed human case. (Use the format DD/MM/YYYY)
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon,"Any contact with animals, animal homes, meats or other animal products in the last 14 days?","1, Yes | 0, No | 99, Unknown","This refers to contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.","Indicate 'Yes' if the patient was in contact with animals, animal homes, meats or other animal products which occurred in the last 14 days."
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_date,Date of contact with suspected or confirmed animal source,,"This refers to the date of contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.","Enter the date of contact with animals, animal homes, meats or other animal products which occurred in the last 14 days. (Use the format DD/MM/YYYY)"
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_lstock,Contact with livestock,"1, Yes | 0, No | 99, Unknown","Refers to any direct or indirect contact with livestock (domesticated farm animals, including poultry such as chickens, ducks, and turkeys) within the past 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_lstock_type,Livestock type,"1, Poultry/birds | 2, Dairy cows/equipment | 3, Other cattle | 4, Pigs | 5, Horses","Type of livestock (domesticated farm animals) the patient was exposed to during the exposure period (e.g. poultry, cattle, pigs, horses).",Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_lstock_cttype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 99, Unknown | 88, Other","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question).",Select all the type(s) of animal contact which occurred in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_nhprim,Contact with non-human primates,"1, Yes | 0, No | 99, Unknown","This refers to contact with non-human primates (a group of mammals composed of simians  monkeys and apes  and prosimians, such as lemurs) which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_nhprim_type,Non-human primates type,"1, Monkeys | 2, Apes",This refers to contact with monkeys which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_nhprim_cttype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 99, Unknown | 88, Other","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question).",Select all the type(s) of animal contact which occurred in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_rodent,Contact with rodents,"1, Yes | 0, No | 99, Unknown","This refers to contact with rodents (e.g. rats, mice, squirrels) which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_rodent_type,Rodents type,"1, Rats | 2, Mice | 3, Squirrels",This refers to contact with rats which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_rodent_cttype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 99, Unknown | 88, Other","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question).",Select all the type(s) of animal contact which occurred in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_pets,Contact with pets,"1, Yes | 0, No | 99, Unknown",This refers to contact with household pets (excluding rodents) which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_pets_type,Pets type,"1, Cats | 2, Dogs",This refers to contact with cats which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_pets_cttype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal |8, Bite/scratch | 99, Unknown | 88, Other","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question).",Select all the type(s) of animal contact which occurred in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_wildlife,Contact with wildlife,"1, Yes | 0, No | 99, Unknown",This refers to contact with animals considered to be wild or feral or not adapted for domestic use which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_wildelife_type,Wildlife type,"1, Bats |88, Other",This refers to contact with bats which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_wildelife_oth,Specify other wildlife type,,This refers to contact with wildlife which occurred in the last 14 days.,"If 'Other', specify the wildlife with which contact occurred in the last 14 days."
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_wildlife_cttype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 99, Unknown | 88, Other","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question).",Select all the type(s) of animal contact which occurred in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_unpasteur,"Contact with or consumption of raw/unprocessed food/drinks potentially contaminated by animals (eg raw fruit/juice, unpasteurised milk or raw dairy products)","1, Yes | 0, No | 99, Unknown",This refers to contact with or consumption of unpasteurised milk or dairy products which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_visitzoo,"Visit to live animal market, farm or zoo","1, Yes | 0, No | 99, Unknown","This refers to visit to live animal market, farm or zoo which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_animalsurg,Participated in animal surgery or necropsy,"1, Yes | 0, No | 99, Unknown",This refers to participation in animal surgery or necropsy which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_bite,"Any insect or arthropod bites (eg. mosquitoes, ticks)","1, Yes | 0, No | 99, Unknown","This refers to any insect or arthropod bites (eg. mosquitoes, ticks) that occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_other,Other animal contact not listed above,"1, Yes | 0, No | 99, Unknown","This refers to other animal contact, not listed above, which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon_other_spec,Specify animal contacts not listed above,,"This refers to other animal contact, not listed above, which occurred in the last 14 days.","If 'Yes', specify any other animal contact with occurred in the last 14 days."
