Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_site,Nombre del centro de traslado,,Se refiere al nombre del centro desde el que se admitió o trasladó previamente al paciente.,Introduzca el nombre del centro desde el que fue ingresado o trasladado el paciente.
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_date,Fecha de presentación en el centro anterior,,Se refiere a la fecha de presentación en el centro en el que se admitió o trasladó previamente al paciente.,Introduzca la fecha de presentación en el centro en el que fue ingresado o trasladado el paciente.
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_reastrans,Motivo de la transferencia,"1, Escalamiento de la atención (p. ej., UCI/ventilación) | 2, Falta de instalaciones de diagnóstico | 3, Proximidad al domicilio | 88, otro",,
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_reastrans_oth,Especifique otro motivo,,,
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_num,Número total de ingresos anteriores por esta infección,,Se refiere al número de veces (para esta infección) que el paciente ha sido admitido en un centro de salud.,Indique el número de veces (para esta infección) que el paciente ha sido ingresado en un centro sanitario.
presentación,REINGRESO Y PIN ANTERIOR,readm_firstadmdate,Fecha de la primera admisión por esta infección,,"Se refiere a la fecha de la primera admisión por esta enfermedad. Si el paciente fue «admitido primero en otro centro y luego trasladado a este centro», registre la fecha en que el paciente fue admitido en el otro centro de salud.",Escriba la fecha en formato DD/MM/AAAA.
presentación,REINGRESO Y PIN ANTERIOR,readm_difpin,¿Se han recopilado anteriormente los datos del paciente con un número de identificación de participante (PIN) diferente?,"1, Sí | 0, No | 99, Desconocido",Se refiere a la recopilación previa de los datos del paciente con un número de identificación de participante (PIN) diferente.,Indique «Sí» si los datos del paciente se han recopilado anteriormente con un número de identificación de participante (PIN) diferente.
presentación,REINGRESO Y PIN ANTERIOR,readm_prevpin,Número de identificación de participante anterior (PIN),,El número de identificación de participante o PIN es un número único que se utiliza para identificar los datos del paciente (participante).,Escriba el número de identificación de participante (PIN).
presentación,REINGRESO Y PIN ANTERIOR,readm_reas,¿El paciente ha sido readmitido con o debido a una infección por el patógeno de interés?,"1, Sí | 0, No | 99, Desconocido",Se refiere a la readmisión del paciente con o debido a una infección por el patógeno de interés.,Indique «Sí» si el paciente está siendo readmitido con o debido a una infección por el patógeno de interés.
presentación,DATOS DEMOGRÁFICOS,demog_birthknow,¿Se conoce la fecha de nacimiento?,"1, Sí | 0, No",Se refiere a la fecha del calendario en la que nació el paciente.,Anote la fecha de nacimiento del participante en formato DD/MM/AAAA.
presentación,DATOS DEMOGRÁFICOS,demog_birthdate,Fecha de nacimiento,,Se refiere a la fecha del calendario en la que nació el paciente.,Anote la fecha de nacimiento del participante en formato DD/MM/AAAA.
presentación,DATOS DEMOGRÁFICOS,demog_age,Edad,,Se refiere a la edad del paciente.,"Para los participantes mayores de dos años, indique la edad en años. Para los niños menores de un año, indique la edad en meses. Para los recién nacidos menores de un mes, indique la edad en días."
presentación,DATOS DEMOGRÁFICOS,demog_age_units,Unidad de edad,"1, Años | 2, Meses | 3, Días",Se refiere a la edad del paciente en el momento de su presentación en el centro de salud.,Seleccione las unidades más adecuadas para la edad.
presentación,DATOS DEMOGRÁFICOS,demog_calcage_days,Edad calculada (días),"if([demog_birthknow]='1', dateiff([demog_birthdate], if([pres_date]='',""today"",[pres_date]), ""d"", ""dmy""), if([demog_age_units]='1', [demog_age]*365, if([demog_age_units]='2', round([demog_age]*365/12,0), if([demog_age_units]='3', [demog_age], ''))))",Se refiere a la edad del paciente en días.,"La edad se calcula, si se conoce la fecha de nacimiento, como la diferencia entre la fecha de nacimiento y la fecha más reciente de presentación o ingreso al establecimiento."
presentación,DATOS DEMOGRÁFICOS,demog_sex,Sexo al nacer,"1, Hombre | 2, Mujer | 99, No especificado/Desconocido | 88, Otro",Se refiere a las características sexuales físicas al nacer.,Seleccione la opción más adecuada que represente las características físicas sexuales al nacer.
presentación,DATOS DEMOGRÁFICOS,demog_sex_oth,Especificar otro sexo al nacer,,Se refiere a las características sexuales físicas al nacer.,"Si «Otro», especifique las características físicas sexuales al nacer."
presentación,DATOS DEMOGRÁFICOS,demog_gender,Género,"1, Hombre | 2, Mujer | 3, No binario | 99, Desconocido | 88, Otro","Se refiere al sentido interno que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo. ",Seleccione la opción más adecuada que represente la identidad de género del paciente.
presentación,DATOS DEMOGRÁFICOS,demog_gender_oth,Especificar otro género,,"Se refiere a la percepción interna que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo.","Si «Otro», especifique la identidad de género del paciente."
presentación,DATOS DEMOGRÁFICOS,demog_country,País,,Se refiere al país de inscripción.,Indique el país de inscripción.
presentación,DATOS DEMOGRÁFICOS,demog_outcountry,¿El paciente nació fuera del país que presenta el informe?,"1, Sí | 0, No | 99, Desconocido",Se refiere al nacimiento del participante fuera del país que presenta el informe.,Indique si el participante nació fuera del país que presenta el informe.
presentación,DATOS DEMOGRÁFICOS,demog_height,Altura (seleccione las unidades),,Altura real o estimación más cercana a la altura en el momento de la admisión.,
presentación,DATOS DEMOGRÁFICOS,demog_height_units,Altura (apartamentos seleccionados),"1 cm | 2, en",,
presentación,DATOS DEMOGRÁFICOS,demog_height_cm,Altura (cm),,"Se refiere a la distancia desde la planta del pie hasta la coronilla con el cuerpo de pie sobre una superficie plana y completamente extendido, medida en centímetros. Para los niños menores de 2 años, utilice la longitud del cuerpo (medida en posición supina).","Indique la altura del paciente en centímetros (cm). Para niños menores de 2 años, utilice la longitud."
presentación,DATOS DEMOGRÁFICOS,demog_height_in,Altura (pulgadas),,"Se refiere a la distancia desde la planta del pie hasta la coronilla con el cuerpo de pie sobre una superficie plana y completamente extendido, medida en pulgadas. Para los niños menores de 2 años, utilice la longitud corporal (medida en posición supina).","Indique la altura del paciente en pulgadas (in). Para niños menores de 2 años, utilice la longitud."
presentación,DATOS DEMOGRÁFICOS,demog_weight,Peso (seleccione las unidades),,Peso real o estimación más cercana al peso en el momento del ingreso.,
presentación,DATOS DEMOGRÁFICOS,demog_weight_units,Peso (unidades seleccionadas),1kg | 2 libras,,
presentación,DATOS DEMOGRÁFICOS,demog_weight_kg,Peso (kg),,"Se refiere al peso de un sujeto, expresado en kilogramos (kg).",Indique el peso del paciente en kilogramos (kg).
presentación,DATOS DEMOGRÁFICOS,demog_weight_lb,Peso (lb),,"Se refiere al peso de un sujeto, expresado en libras (lb).",Indique el peso del paciente en libras (lb).
presentación,DATOS DEMOGRÁFICOS,demog_race,Raza (seleccione todas las que correspondan),,Se refiere a una categoría de origen geográfico ancestral que se asigna a un grupo de población basándose principalmente en características físicas que se consideran distintivas e inherentes.,Seleccione todas las opciones que correspondan.
presentación,DATOS DEMOGRÁFICOS,demog_healthcare,Trabaja en el sector salud,"1, Sí | 0, No | 99, Desconocido",Se refiere a un paciente que trabaja en el sector sanitario.,Seleccione la opción más adecuada.
presentación,DATOS DEMOGRÁFICOS,demog_healthcare_ptfacing,Tiene contacto directo con pacientes,"1, Sí | 0, No | 99, Desconocido","Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos de atención al paciente (es decir, funciones que implican la interacción directa con los pacientes). ",Seleccione la opción más adecuada.
presentación,DATOS DEMOGRÁFICOS,demog_healthcare_expbiosample,Expuesto a muestras biológicas,"1, Sí | 0, No | 99, Desconocido","Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos que no están en contacto con pacientes, pero que está expuesto a muestras biológicas (por ejemplo, personal de laboratorio, manipuladores de residuos médicos).",Seleccione la opción más adecuada.
presentación,DATOS DEMOGRÁFICOS,demog_riskoccupa,¿El paciente ejerce alguna de estas profesiones o una profesión relacionada con su infección?,,Se refiere a la actividad principal que realiza una persona para ganarse la vida.,Seleccione todas las opciones que correspondan.
presentación,DATOS DEMOGRÁFICOS,demog_occupation,Lugar principal de trabajo,"1, Trabajo desde casa o desempleado | 2, Interior: oficina/salud/educación/hostelería/negocios/hogares | 3, Interior: fábrica | 8, Exterior: contacto con animales (veterinario, ganadero, trabajador de matadero) | 4, Al aire libre: agricultura/silvicultura/pesca | 5, Al aire libre: construcción/industria/minería | 6, Fuerzas armadas | 7, Estudiante | 99, Desconocido | 88, Otro",Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual. ,Seleccione la opción más adecuada que represente el lugar principal de trabajo.
presentación,DATOS DEMOGRÁFICOS,demog_occupation_oth,Especifique otro lugar principal de trabajo,,Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual.,"Si es «Otro», especifique el lugar principal de trabajo."
presentación,DATOS DEMOGRÁFICOS,demog_residence,Ciudad de residencia del paciente,"1, Igual que el centro sanitario | 2, Diferente del centro sanitario | 99, Desconocido",Se refiere a la ciudad en la que una persona habita más que temporalmente o vive permanentemente.,"Si la ciudad de residencia del paciente es diferente a la ciudad en la que se encuentra este centro de atención médica, especifique la región de residencia del paciente a continuación."
presentación,DATOS DEMOGRÁFICOS,demog_residence_oth,"Si es diferente del centro de salud del caso, especifique la región de residencia del paciente.",,Se refiere a la ciudad en la que una persona habita más que temporalmente o vive permanentemente.,"Si es ""Diferente del centro de salud"", especifique la región de residencia del paciente."
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_travel,¿El paciente viajó fuera de su región de origen en los últimos 14 días?,"1, Sí | 0, No | 99, Desconocido","Esto se refiere a viajar a otra ciudad/pueblo o región, a otra parte del país o al extranjero a otro país dentro de los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.","Indique «Sí» si el paciente ha viajado a otra ciudad o región, a otra parte del país o al extranjero a otro país en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual."
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_travel_loc,especifique todas las ciudades o pueblos y regiones de viaje,,Esto se refiere a todas las ciudades o pueblos y regiones a las que el paciente viajó dentro de los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.,"Si el paciente ha viajado fuera de su lugar de residencia habitual en los 14 días anteriores al inicio de los síntomas, introduzca los lugares que ha visitado."
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_riskarea,¿Viaja o vive en zonas rurales o de alto riesgo afectadas por un brote?,"1, sí | 0, No | 99, Desconocido",,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_contact,¿Historial de contacto con un caso humano sospechoso o confirmado de enfermedad/enfermedad por el mismo patógeno?,"1, sí | 0, No | 99, Desconocido","Esto se refiere a que el paciente tiene antecedentes de contacto con cualquier persona que presente síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).","Indique ""Sí"", si el paciente tiene antecedentes de contacto con cualquier persona que presente síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.)."
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_contact_setting,Configuración de contacto,"1, Hogar | 2, Comunidad/social | 3, Centro sanitario | 4, Ocupacional/lugar de trabajo | 5, Contacto sexual | 7, Viaje aéreo/vuelo | 8, transmisión vertical | 88, Otro | 99, Desconocido",,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_contact_setting_oth,Especificar otro tipo de contacto,,,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_contact_date,Fecha de contacto con caso sospechoso o confirmado,,"Esto se refiere a la fecha de contacto con cualquier persona que presente síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).",Ingrese la fecha del contacto con el caso humano sospechoso o confirmado. (Utilice el formato DD/MM/AAAA)
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon,"Contacto con animales, hogares de animales, carne u otros productos animales en los últimos 14 días","1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con animales, hogares de animales, carnes u otros productos animales que haya tenido lugar en los últimos 14 días.","Indique «Sí» si el paciente ha estado en contacto con animales, hogares de animales, carne u otros productos animales en los últimos 14 días."
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_date,Fecha de contacto con la fuente animal sospechosa o confirmada,,"Se refiere a la fecha de contacto con animales, hogares de animales, carnes u otros productos animales que haya tenido lugar en los últimos 14 días.","Escriba la fecha del contacto con animales, hogares de animales, carne u otros productos animales en los últimos 14 días, en formato DD/MM/AAAA."
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_lstock,Contacto con animales de producción,"1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con aves vivas (por ejemplo, pollos, pavos, patos) que haya tenido lugar en los últimos 14 días.",Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_lstock_type,Tipo de ganado,"1, Aves de corral/aves | 2, Vacas lecheras/equipos | 3, Otros bovinos | 4, cerdos","Se refiere al contacto con aves vivas (por ejemplo, pollos, pavos, patos) que se produjo en los últimos 14 días.",Indique 'Sí' si el paciente experimentó esto en los últimos 14 días.
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_lstock_cttype,Especifique el tipo de contacto,"1, Caza | 2, Preparación | 3, Manipulación | 4, Consumo (sin procesar / poco cocinado / crudo) | 5, Comercio | 6, Heces o nidos de animales | 7, Animal enfermo o muerto | 99, Desconocido | 88, Otros","Se refiere al tipo o tipos de contacto con animales en los últimos 14 días. La caza incluye el hallazgo o la muerte de animales con fines alimentarios o deportivos. La preparación incluye el desollado, el despiece o el sacrificio de animales para el consumo. La manipulación incluye tocar, acariciar o compartir el espacio vital con animales. El consumo incluye la ingestión de partes de animales sin procesar, poco cocinadas o crudas. El comercio incluye el contacto con animales por la venta, compra o intercambio de animales. Las heces o nidos de animales incluyen el contacto con heces, nidos o hogares de animales. Los animales enfermos o muertos se refieren al contacto con un animal enfermo o muerto, pero no a la participación en cirugía o necropsia de animales (pregunta aparte). ",Seleccione todos los tipos de contacto con animales que se hayan producido en los últimos 14 días.
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_nhprim,Contacto con primates no humanos,"1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con primates no humanos (un grupo de mamíferos compuesto por simios  monos y simios  y prosimios, como los lémures) que se ha producido en los últimos 14 días.",Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_nhprim_type,Tipo de primates no humanos,"1, monos | 2, simios",Se refiere al contacto con monos ocurrido en los últimos 14 días.,Indique 'Sí' si el paciente experimentó esto en los últimos 14 días.
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_nhprim_cttype,Especifique el tipo de contacto,"1, Caza | 2, Preparación | 3, Manipulación | 4, Consumo (sin procesar / poco cocinado / crudo) | 5, Comercio | 6, Heces o nidos de animales | 7, Animal enfermo o muerto | 99, Desconocido | 88, Otros","Se refiere al tipo o tipos de contacto con animales que haya tenido lugar en los últimos 14 días. La caza incluye el hallazgo o la muerte de animales con fines alimenticios o deportivos. La preparación incluye el desollado, el despiece o el sacrificio de animales para su consumo. La manipulación incluye tocar, acariciar o compartir el espacio vital con animales. El consumo incluye la ingestión de partes de animales sin procesar, poco cocinadas o crudas. El comercio incluye el contacto con animales por la venta, compra o intercambio de animales. Las heces o nidos de animales incluyen el contacto con heces, nidos o hogares de animales. Los animales enfermos o muertos se refieren al contacto con un animal enfermo o muerto, pero no a la participación en cirugía o necropsia de animales (pregunta separada). ",Seleccione todos los tipos de contacto con animales que se hayan producido en los últimos 14 días.
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_rodent,Contacto con roedores,"1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con roedores (por ejemplo, ratas, ratones, ardillas) que se ha producido en los últimos 14 días.",Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_rodent_type,Tipo de roedores,"1, ratas | 2, ratones | 3, ardillas",Se refiere al contacto con ratas ocurrido en los últimos 14 días.,Indique 'Sí' si el paciente experimentó esto en los últimos 14 días.
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_ancon_rodent_cttype,Especifique el tipo de contacto,"1, Caza | 2, Preparación | 3, Manipulación | 4, Consumo (sin procesar / poco cocinado / crudo) | 5, Comercio | 6, Heces o nidos de animales | 7, Animal enfermo o muerto | 99, Desconocido | 88, Otros","Se refiere al tipo o tipos de contacto con animales que se ha producido en los últimos 14 días. La caza incluye el hallazgo o la muerte de animales con fines alimenticios o deportivos. La preparación incluye el desollado, el despiece o el sacrificio de animales para su consumo. La manipulación incluye tocar, acariciar o compartir el espacio vital con animales. El consumo incluye la ingestión de partes de animales sin procesar, poco cocinadas o crudas. El comercio incluye el contacto con animales por venta, compra o intercambio. Las heces o nidos de animales incluyen el contacto con heces, nidos o hogares de animales. Los animales enfermos o muertos se refieren al contacto con un animal enfermo o muerto, pero no a la participación en cirugía o necropsia de animales (pregunta aparte). ",Seleccione todos los tipos de contacto con animales que se hayan producido en los últimos 14 días.
