Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
"Cefalexina (Cefalexina, Keflex, Daxbia)",J01DB01,ATC,1,,,,,,,,1.0,1.0,,19
Cefamandol (Mandol),J01DC03,ATC,2,,,,,,,,,,,20
"Cefazolina (Ancef, Kefzol)",J01DB04,ATC,1,,,,,,,,,1.0,,21
"Cefdinir (Cefzon, Omnicef)",J01DD15,ATC,2,,,,,,,,,,,22
Cefditoreno (Spectracef),J01DD16,ATC,2,,,,,,,,,,,23
Cefepima (Maxipima),J01DE01,ATC,1,,,,,,,,,1.0,,24
Cefixima (Suprax),J01DD08,ATC,2,,,,,,,,,,,25
Cefmetazol (Zefazona),J01DC09,ATC,2,,,,,,,,,,,26
Cefoperazona (Cefobid),J01DD12,ATC, ,,,,,,,,,,,27
Cefotaxima (Claforan),J01DD01,ATC,1,,,,,,,,,1.0,,28
Cefotetano (Cefotan),J01DC05,ATC,2,,,,,,,,,,,29
"Cefoxitina (Mefoxina, Renoxitina)",J01DC01,ATC,2,,,,,,,,,,,30
Cefpodoxima Proxetil (Vantin),J01DD13  ,ATC,2,,,,,,,,,,,31
"Cefprozil (Cefproxil, Cefproz, Cefzil)",J01DC10,ATC,2,,,,,,,,,,,32
"Ceftarolina Fosamil (Teflaro, Zinforo)",J01DI02  ,ATC,1,,,,,,,,,1.0,,33
"Ceftazidima (Fortaz, Tazicef)",J01DD02 ,ATC,1,,,,,,,,,1.0,,34
"Inibidor de ceftazidima/beta-lactamase (ceftazidima/avibactam, Avycaz, Zavicefta)",J01DD52,ATC,,,,,,,,,,,,35
Ceftibuteno (Cedax),J01DD14,ATC,2,,,,,,,,,,,36
Ceftizoxima (Cefizox),J01DD07,ATC, ,,,,,,,,,,,37
Ceftobiprol Medocaril (Zeftera),J01DI01 ,ATC,1,,,,,,,,,1.0,,38
"Ceftriaxona (Rocephin, Wintriaxone)",J01DD04 ,ATC,1,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,39
"Cefuroxima (Ceftina, Zinacef)",J01DC02,ATC,1,,,,,,,,,1.0,,40
"Cefalexina (Cefalexina, Keflex, Daxbia)",J01DB01  ,ATC,2,,,,,,,,,,,41
"Cefalotina (Cefalotina,",J01DB03  ,ATC,2,,,,,,,,,,,42
"Cefapirina (cefapirina,",J01DB08,ATC,2,,,,,,,,,,,43
"Cefradina (Cefradina, Velosef)",J01DB09,ATC,2,,,,,,,,,,,44
"Cloranfenicol (Cloromicetina, Viceton)",J01BA01,ATC, ,,,,,,,,,,,45
Cinoxacina (Cinobac),J01MB06,ATC,2,,,,,,,,,,,46
"Ciprofloxacina (Cetraxal, Cipro, Ciloxan, Proquin)",J01MA02,ATC,1,,,,,,,,1.0,1.0,,47
"Claritromicina (Biaxin, Klacid)",J01FA09,ATC,1,,,,,,,,,1.0,,48
"Clindamicina (Cleocin, Dalacin)",J01FF01,ATC,1,,,,,,,,,1.0,,49
"Cloxacilina (Tegopen, Cloxapen)",J01CF02,ATC, ,,,,,,,,,,,50
"Colistina (Colistimetato, Coly Mycin M, Colobreathe, Xilistina)",J01XB01,ATC, ,,,,,,,,,,,51
Cicloserina (seromicina),J04AB01,ATC,2,,,,,,,,,,,52
"Daptomicina (Dapzura, Cubicin)",J01XX09 ,ATC, ,,,,,,,,,,,53
Demeclociclina (Declomicina),J01AA01,ATC,2,,,,,,,,,,,54
"Dicloxacilina (Diclocil, Dycill, Dynapen)",J01CF01,ATC,2,,,,,,,,,,,55
Diritromicina (Dynabac),J01FA13  ,ATC,2,,,,,,,,,,,56
"Doripenem (Doribax, Finibax)",J01DH04  ,ATC,2,,,,,,,,,,,57
"Doxiciclina (Vibramicina, Oracea, Monodox)",J01AA02,ATC,1,1.0,,1.0,1.0,,,,1.0,1.0,,58
Enoxacina,J01MA04,ATC,2,,,,,,,,,,,59
Ertapenem (Invanz),J01DH03,ATC,1,,,,,,,,,1.0,,60
"Eritromicina (Eryc, Eritrocina)",J01FA01,ATC,1,,,,,,,,1.0,1.0,,61
Etambutol,J04AK02,ATC,,,,,,,,,,,,62
"Flucloxacilina (Floxapen, Fluclox)",J01CF05  ,ATC,1,,,,,,,,,1.0,,63
Fluconazol (Diflucan),J02AC01 ,ATC,1,,,,,,,,,1.0,,64
Fosfomicina (Monurol),J01XX01 ,ATC,1,,,,,,,,,1.0,,65
Ácido fusídico,J01XC01,ATC,,,,,,,,,,,,66
Gatifloxacina (Tequin),J01MA16,ATC, ,,,,,,,,,,,67
Gemifloxacino (fativo),J01MA15,ATC,2,,,,,,,,,,,68
"Gentamicina (Garamicina, Gentak, Genóptico)",J01GB03,ATC,1,,,,,,,,,1.0,,69
Grepafloxacina,J01MA11,ATC,2,,,,,,,,,,,70
Imipenem/Cilastatina (Primaxina),J01DH51,ATC,1,,,,,,,,,1.0,,71
"Isoniazida (Nidrazida, Laniazida)",J04AC01,ATC,1,,,,,,,,,1.0,,72
Canamicina (Kantrex),J01GB04 ,ATC, ,,,,,,,,,,,73
"Levofloxacina (Levaquin, Levxin, Tavanic)",J01MA12,ATC,1,,,,,1.0,1.0,,,1.0,,74
"Lincomicina (Linobac, Lincomed)",J01FF02,ATC,2,,,,,,,,,,,75
Linezolida (Zyvox),J01XX08,ATC,1,,,,,,,,,1.0,,76
Lomefloxacina,J01MA07,ATC,2,,,,,,,,,,,77
"Meropenem (Merrem, Meronem)",J01DH02 ,ATC,1,,,,,,,,1.0,1.0,,78
"Hipurato de metenamina (Hiprex, Urex)",J01XX05  ,ATC,2,,,,,,,,,,,79
"Meticilina (meticilina, estacilina)",J01CF03,ATC,2,,,,,,,,,,,80
"Metronidazol (Flagyl, Likmez)",J01XD01,ATC,1,,,,,,,,,1.0,,81
"Mezlocilina (Baypen, Melocina, Bezlin, Optocilina)",J01CA10,ATC,2,,,,,,,,,,,82
"Minociclina (Minocin, Ximino)",J01AA08,ATC,2,,,,,,,,,,,83
"Moxifloxacina (Avelox, Vigamox)",J01MA14,ATC,1,,,,,,,,,1.0,,84
Nafcilina,J01CF06,ATC,2,,,,,,,,,,,85
"Ácido Nalidíxico (NegGram, Wintomylon)",J01MB02,ATC,2,,,,,,,,,,,86
Neomicina (Neovet),J01GB05,ATC,2,,,,,,,,,,,87
Netilmicina (Netromicina),J01GB07,ATC, ,,,,,,,,,,,89
"Nitrofural (Aldomicina, Furacina, NFZ)",D08AF01,ATC,2,,,,,,,,,,,90
"Nitrofurantoína (Macrobídeo, Macrodantina)",J01XE01  ,ATC,1,,,,,,,,,1.0,,91
"Norfloxacina (Trizolin, Noroxina)",J01MA06,ATC,2,,,,,,,,,,,92
Novobiocina (Albadry),90220005,SNOMED,2,,,,,,,,,,,93
"Ofloxacina (Floxin, Ocuflox)",J01MA01,ATC,2,,,,,,,,,,,94
Oxacilina (Bactocil),J01CF04,ATC,2,,,,,,,,,,,95
"Oxitetraciclina (Agrimicina, Noromicina)",J01AA06,ATC,2,,,,,,,,,,,96
Piperacilina,J01CA12,ATC,,,,,,,,,,,,97
"Inibidor de piperacilina/beta-lactamase (Piperacilina/Tazobactam, Pip-Taz, Tazocel, Tazocin, Zosyn,",J01CR05 ,ATC,1,,,,,,,,,1.0,,98
Pivmecilinam (Selexida),J01CA08 ,ATC,1,,,,,,,,,1.0,,100
Plazomicina (Zemdri),J01GB14,ATC,,,,,,,,,,,,101
"Polimixina B (Poly-Rx, Polisporina)",J01XB02,ATC, ,,,,,,,,,,,102
"Benzilpenicilina procaína (penicilina G, batracilina G, norocilina)",J01CE09,ATC,,,,,,,,,,,,103
Pirazinamida,J04AK01,ATC,,,,,,,,,,,,104
Quinupristina/Dalfopristina (Synercid),J01FG02  ,ATC,2,,,,,,,,,,,105
Retapamulina (Altabax),D06AX13,ATC,2,,,,,,,,,,,106
"Rifampicina (Rifadina, Rimactano)",J04AB02  ,ATC,1,,,,,,,,,1.0,,107
Rifapentina (Priftin),J04AB05,ATC,2,,,,,,,,,,,108
Rifaximina (Xifaxan),A07AA11,ATC,1,,,,,,,,,1.0,,109
"Roxitromicina (Biaxsig, Rulide)",J01FA06,ATC,,,,,,,,,,,,110
Esparfloxacina (Spacin),J01MA09  ,ATC,2,,,,,,,,,,,111
Espectinomicina (SpectoGard),J01XX04,ATC,2,,,,,,,,,,,112
Estreptomicina,J01GA01,ATC,2,,,,,,,,,,,113
Sulfadiazina,J01EC02,ATC,2,,,,,,,,,,,114
Sulfametoxazol (Gantanol),J01EC01,ATC,1,,,,,,,,,1.0,,115
"Sulfametoxazol / Trimetoprima (Bactrim, Cotrimoxazol, Septra)",J01EE01  ,ATC,1,,,,,,,,1.0,1.0,,116
"Sulfisoxazol (Sulfafurazol, Truxazol)",J01EB05,ATC,2,,,,,,,,,,,117
Teicoplanina (Targocid),J01XA02,ATC, ,,,,,,,,,,,118
"Telavancina (Televancina, Vibativ)",J01XA03,ATC,2,,,,,,,,,,,119
Telitromicina (Levviax),J01FA15,ATC,2,,,,,,,,,,,120
"Tetraciclina (Viabeclina, Vitastem)",J01AA07,ATC,2,,,,,,,,,,,121
Ticarcilina,J01CA13,ATC,2,,,,,,,,,,,122
Inibidor de ticarcilina/beta-lactamase (Ticacilina/clavulanato),J01CR03  ,ATC,2,,,,,,,,,,,123
Tigeciclina (Tygacil),J01AA12 ,ATC,1,,,,,,,,,1.0,,124
"Tobramicina (Nebcin, Tobrex, Tobi)",J01GB01,ATC,1,,,,,,,,,1.0,,125
Trimetoprima (Primsol),J01EA01,ATC,1,,,,,,,,,1.0,,126
Trovafloxacina (Trovan),J01MA13 ,ATC, ,,,,,,,,,,,127
"Vancomicina (Vancocina, Vancocina HCl, Firvanq)",J01XA01,ATC,1,,,,,,1.0,,,1.0,,128
Voriconazol (Vfend),J02AC03 ,ATC, ,,,,,,,,,,,129
Xibornol,J01XX02,ATC,,,,,,,,,,,,130
